country,state,cases,deaths,datetime
DE,Bremen,121,0,2020-03-20T00:00:00
DE,Mecklenburg-Vorpommern,131,0,2020-03-20T00:00:00
DE,Saarland,146,0,2020-03-20T00:00:00
DE,Thüringen,149,0,2020-03-20T00:00:00
DE,Sachsen-Anhalt,180,0,2020-03-20T00:00:00
DE,Brandenburg,192,0,2020-03-20T00:00:00
DE,Schleswig-Holstein,266,1,2020-03-20T00:00:00
DE,Sachsen,394,0,2020-03-20T00:00:00
DE,Hamburg,586,0,2020-03-20T00:00:00
DE,Berlin,731,0,2020-03-20T00:00:00
DE,Rheinland-Pfalz,801,1,2020-03-20T00:00:00
DE,Niedersachsen,803,0,2020-03-20T00:00:00
DE,Hessen,813,1,2020-03-20T00:00:00
DE,Bayern,2401,12,2020-03-20T00:00:00
DE,Baden-Württemberg,2746,10,2020-03-20T00:00:00
DE,Nordrhein-Westfalen,3497,6,2020-03-20T00:00:00
DE,sum,13957,31,2020-03-20T00:00:00
