country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,datetime
UK,Northern Ireland,299328,15791.4,0.0,0.0,2021-11-17T00:00:00
UK,North East,456531,17029.9,0.0,0.0,2021-11-17T00:00:00
UK,Wales,486661,15354.1,0.0,0.0,2021-11-17T00:00:00
UK,South West,696423,12306.2,0.0,0.0,2021-11-17T00:00:00
UK,Scotland,699334,12794.3,0.0,0.0,2021-11-17T00:00:00
UK,East Midlands,736520,15137.3,0.0,0.0,2021-11-17T00:00:00
UK,East of England,835409,13325.7,0.0,0.0,2021-11-17T00:00:00
UK,Yorkshire and The Humber,889280,16091.6,0.0,0.0,2021-11-17T00:00:00
UK,West Midlands,902296,15134.3,0.0,0.0,2021-11-17T00:00:00
UK,South East,1199702,13015.8,0.0,0.0,2021-11-17T00:00:00
UK,London,1245539,13835.5,0.0,0.0,2021-11-17T00:00:00
UK,North West,1263026,17143.3,0.0,0.0,2021-11-17T00:00:00
