country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Wales,889808,28073.3,0.0,0.0,0.0,2022-11-19T00:00:00
UK,North East,1020932,38083.6,0.0,0.0,22885271.0,2022-11-19T00:00:00
UK,East Midlands,1725909,35471.8,0.0,0.0,44400189.0,2022-11-19T00:00:00
UK,South West,1928149,34071.4,0.0,0.0,60728292.0,2022-11-19T00:00:00
UK,Yorkshire and The Humber,1952170,35324.8,0.0,0.0,45884909.0,2022-11-19T00:00:00
UK,West Midlands,2067713,34681.9,0.0,0.0,53529912.0,2022-11-19T00:00:00
UK,Scotland,2127598,38924.2,0.0,0.0,17527358.0,2022-11-19T00:00:00
UK,East of England,2221758,35439.5,0.0,0.0,66609961.0,2022-11-19T00:00:00
UK,North West,2770438,37603.7,0.0,0.0,65208058.0,2022-11-19T00:00:00
UK,London,3096896,34400.4,0.0,0.0,77293873.0,2022-11-19T00:00:00
UK,South East,3294287,35740.4,0.0,0.0,100217261.0,2022-11-19T00:00:00
