country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,775,40.9,0.0,0.0,0.0,2020-03-31T00:00:00
UK,North East,1178,44.1,119.0,4.5,0.0,2020-03-31T00:00:00
UK,South West,1377,24.5,179.0,3.2,0.0,2020-03-31T00:00:00
UK,East Midlands,1994,41.2,217.0,4.5,0.0,2020-03-31T00:00:00
UK,Wales,2313,73.4,0.0,0.0,0.0,2020-03-31T00:00:00
UK,Yorkshire and The Humber,2322,42.2,192.0,3.5,0.0,2020-03-31T00:00:00
UK,East of England,2621,42.0,380.0,6.1,0.0,2020-03-31T00:00:00
UK,Scotland,2640,48.3,0.0,0.0,0.0,2020-03-31T00:00:00
UK,West Midlands,3832,64.6,614.0,10.3,0.0,2020-03-31T00:00:00
UK,North West,3942,53.7,424.0,5.8,0.0,2020-03-31T00:00:00
UK,South East,4306,46.9,535.0,5.8,0.0,2020-03-31T00:00:00
UK,London,10151,113.3,1373.0,15.3,0.0,2020-03-31T00:00:00
