country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,6772,357.6,0.0,0.0,0.0,2020-08-24T00:00:00
UK,South West,14453,257.0,2210.0,39.3,0.0,2020-08-24T00:00:00
UK,North East,16041,600.8,2503.0,93.7,0.0,2020-08-24T00:00:00
UK,Wales,17829,565.5,0.0,0.0,0.0,2020-08-24T00:00:00
UK,Scotland,20055,367.1,0.0,0.0,0.0,2020-08-24T00:00:00
UK,East Midlands,25987,537.4,3497.0,72.3,0.0,2020-08-24T00:00:00
UK,East of England,26284,421.5,4765.0,76.4,0.0,2020-08-24T00:00:00
UK,West Midlands,29908,504.0,5366.0,90.4,0.0,2020-08-24T00:00:00
UK,Yorkshire and The Humber,35577,646.5,4214.0,76.6,0.0,2020-08-24T00:00:00
UK,South East,37338,406.7,5913.0,64.4,0.0,2020-08-24T00:00:00
UK,London,38737,432.2,7024.0,78.4,0.0,2020-08-24T00:00:00
UK,North West,52144,710.3,7262.0,98.9,0.0,2020-08-24T00:00:00
