country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,37496,1980.1,0.0,0.0,745549.0,2020-10-29T00:00:00
UK,South West,43737,777.6,2507.0,44.6,0.0,2020-10-29T00:00:00
UK,East of England,52159,836.4,5332.0,85.5,0.0,2020-10-29T00:00:00
UK,Wales,52674,1670.7,0.0,0.0,1145119.0,2020-10-29T00:00:00
UK,North East,63559,2380.5,3191.0,119.5,0.0,2020-10-29T00:00:00
UK,Scotland,64017,1171.8,0.0,0.0,2191464.0,2020-10-29T00:00:00
UK,South East,74785,814.6,6554.0,71.4,0.0,2020-10-29T00:00:00
UK,East Midlands,82303,1701.9,4123.0,85.3,0.0,2020-10-29T00:00:00
UK,West Midlands,90834,1530.7,6138.0,103.4,0.0,2020-10-29T00:00:00
UK,London,97539,1088.4,7620.0,85.0,0.0,2020-10-29T00:00:00
UK,Yorkshire and The Humber,131695,2393.2,5216.0,94.8,0.0,2020-10-29T00:00:00
UK,North West,218113,2971.1,9325.0,127.0,0.0,2020-10-29T00:00:00
