country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,34326,1812.7,0.0,0.0,715480.0,2020-10-25T00:00:00
UK,South West,38202,679.2,2450.0,43.6,0.0,2020-10-25T00:00:00
UK,Wales,46700,1481.2,0.0,0.0,1103133.0,2020-10-25T00:00:00
UK,East of England,48086,771.1,5268.0,84.5,0.0,2020-10-25T00:00:00
UK,North East,58772,2201.2,3098.0,116.0,0.0,2020-10-25T00:00:00
UK,Scotland,58998,1079.9,0.0,0.0,2111041.0,2020-10-25T00:00:00
UK,South East,67899,739.6,6485.0,70.6,0.0,2020-10-25T00:00:00
UK,East Midlands,73658,1523.1,4013.0,83.0,0.0,2020-10-25T00:00:00
UK,West Midlands,80746,1360.7,6025.0,101.5,0.0,2020-10-25T00:00:00
UK,London,88959,992.6,7545.0,84.2,0.0,2020-10-25T00:00:00
UK,Yorkshire and The Humber,117228,2130.3,5042.0,91.6,0.0,2020-10-25T00:00:00
UK,North West,198440,2703.1,8995.0,122.5,0.0,2020-10-25T00:00:00
