country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Wales,895769,28261.4,0.0,0.0,0.0,2023-01-28T00:00:00
UK,North East,1032407,38511.7,0.0,0.0,23026824.0,2023-01-28T00:00:00
UK,East Midlands,1749481,35956.2,0.0,0.0,44715286.0,2023-01-28T00:00:00
UK,South West,1964723,34717.7,0.0,0.0,61063110.0,2023-01-28T00:00:00
UK,Yorkshire and The Humber,1975485,35746.7,0.0,0.0,46242594.0,2023-01-28T00:00:00
UK,West Midlands,2094786,35136.0,0.0,0.0,53638212.0,2023-01-28T00:00:00
UK,Scotland,2149378,39322.7,0.0,0.0,17620628.0,2023-01-28T00:00:00
UK,East of England,2253283,35942.3,0.0,0.0,66938485.0,2023-01-28T00:00:00
UK,North West,2803227,38048.8,0.0,0.0,65810769.0,2023-01-28T00:00:00
UK,London,3126091,34724.7,0.0,0.0,77360348.0,2023-01-28T00:00:00
UK,South East,3342420,36262.6,0.0,0.0,100706347.0,2023-01-28T00:00:00
