country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,5939,313.6,0.0,0.0,0.0,2020-08-03T00:00:00
UK,South West,13487,239.8,2149.0,38.2,0.0,2020-08-03T00:00:00
UK,North East,15413,577.3,2437.0,91.3,0.0,2020-08-03T00:00:00
UK,Wales,17390,551.6,0.0,0.0,0.0,2020-08-03T00:00:00
UK,Scotland,18778,343.7,0.0,0.0,0.0,2020-08-03T00:00:00
UK,East Midlands,23914,494.5,3409.0,70.5,0.0,2020-08-03T00:00:00
UK,East of England,25094,402.4,4645.0,74.5,0.0,2020-08-03T00:00:00
UK,West Midlands,27507,463.5,5235.0,88.2,0.0,2020-08-03T00:00:00
UK,Yorkshire and The Humber,32656,593.4,4090.0,74.3,0.0,2020-08-03T00:00:00
UK,South East,35707,389.0,5726.0,62.4,0.0,2020-08-03T00:00:00
UK,London,35925,400.9,6919.0,77.2,0.0,2020-08-03T00:00:00
UK,North West,47325,644.6,7000.0,95.4,0.0,2020-08-03T00:00:00
