country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,53489,2824.6,0.0,0.0,965719.0,2020-12-02T00:00:00
UK,South West,82494,1466.6,3309.0,58.8,0.0,2020-12-02T00:00:00
UK,Wales,86889,2755.9,0.0,0.0,1530546.0,2020-12-02T00:00:00
UK,East of England,91311,1464.2,6215.0,99.7,0.0,2020-12-02T00:00:00
UK,Scotland,98510,1803.1,0.0,0.0,2835228.0,2020-12-02T00:00:00
UK,North East,102304,3831.7,4229.0,158.4,0.0,2020-12-02T00:00:00
UK,East Midlands,142792,2952.7,5751.0,118.9,0.0,2020-12-02T00:00:00
UK,South East,143911,1567.6,7841.0,85.4,0.0,2020-12-02T00:00:00
UK,West Midlands,171581,2891.5,7971.0,134.3,0.0,2020-12-02T00:00:00
UK,London,172174,1921.2,8570.0,95.6,0.0,2020-12-02T00:00:00
UK,Yorkshire and The Humber,218946,3978.7,7594.0,138.0,0.0,2020-12-02T00:00:00
UK,North West,312665,4259.0,12573.0,171.3,0.0,2020-12-02T00:00:00
