country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,626354,33044.1,0.0,0.0,8247927.0,2022-02-28T00:00:00
UK,Wales,816383,25756.8,0.0,0.0,8426942.0,2022-02-28T00:00:00
UK,North East,833854,31105.1,0.0,0.0,20036492.0,2022-02-28T00:00:00
UK,East Midlands,1380937,28381.7,0.0,0.0,39071667.0,2022-02-28T00:00:00
UK,South West,1406502,24853.6,0.0,0.0,52919968.0,2022-02-28T00:00:00
UK,Scotland,1473463,26956.9,0.0,0.0,15594614.0,2022-02-28T00:00:00
UK,Yorkshire and The Humber,1594867,28859.3,0.0,0.0,40323040.0,2022-02-28T00:00:00
UK,West Midlands,1680639,28189.5,0.0,0.0,47017038.0,2022-02-28T00:00:00
UK,East of England,1716746,27384.0,0.0,0.0,58788267.0,2022-02-28T00:00:00
UK,North West,2282247,30977.4,0.0,0.0,57348069.0,2022-02-28T00:00:00
UK,South East,2519835,27338.2,0.0,0.0,87781807.0,2022-02-28T00:00:00
UK,London,2566145,28504.8,0.0,0.0,68743852.0,2022-02-28T00:00:00
