country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Wales,892622,28162.1,0.0,0.0,0.0,2022-12-19T00:00:00
UK,North East,1025752,38263.4,0.0,0.0,22937225.0,2022-12-19T00:00:00
UK,East Midlands,1737027,35700.3,0.0,0.0,44548726.0,2022-12-19T00:00:00
UK,South West,1945638,34380.4,0.0,0.0,60794421.0,2022-12-19T00:00:00
UK,Yorkshire and The Humber,1962040,35503.4,0.0,0.0,46053098.0,2022-12-19T00:00:00
UK,West Midlands,2079756,34883.9,0.0,0.0,53427318.0,2022-12-19T00:00:00
UK,East of England,2235602,35660.3,0.0,0.0,66712287.0,2022-12-19T00:00:00
UK,North West,2785226,37804.4,0.0,0.0,65575048.0,2022-12-19T00:00:00
UK,London,3111880,34566.9,0.0,0.0,77071651.0,2022-12-19T00:00:00
UK,South East,3317180,35988.8,0.0,0.0,100376571.0,2022-12-19T00:00:00
