country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Wales,881671,27816.6,0.0,0.0,0.0,2022-07-22T00:00:00
UK,North East,988659,36879.8,0.0,0.0,22394759.0,2022-07-22T00:00:00
UK,East Midlands,1664083,34201.1,0.0,0.0,43385618.0,2022-07-22T00:00:00
UK,South West,1854461,32769.3,0.0,0.0,59393034.0,2022-07-22T00:00:00
UK,Yorkshire and The Humber,1890380,34206.7,0.0,0.0,44805086.0,2022-07-22T00:00:00
UK,West Midlands,1999215,33533.0,0.0,0.0,52215997.0,2022-07-22T00:00:00
UK,Scotland,2065955,37796.5,0.0,0.0,17216597.0,2022-07-22T00:00:00
UK,East of England,2146631,34241.1,0.0,0.0,65227755.0,2022-07-22T00:00:00
UK,North West,2688698,36494.3,0.0,0.0,63658639.0,2022-07-22T00:00:00
UK,London,3024969,33601.5,0.0,0.0,75680607.0,2022-07-22T00:00:00
UK,South East,3181235,34513.9,0.0,0.0,98027494.0,2022-07-22T00:00:00
