country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Scotland,0.0,0.0,0.0,0.0,17651795.0,2023-03-01T00:00:00
UK,Wales,897654.0,28320.9,0.0,0.0,0.0,2023-03-01T00:00:00
UK,North East,1038767.0,38748.9,0.0,0.0,23086231.0,2023-03-01T00:00:00
UK,East Midlands,1758694.0,36145.6,0.0,0.0,44824776.0,2023-03-01T00:00:00
UK,South West,1976332.0,34922.8,0.0,0.0,61211030.0,2023-03-01T00:00:00
UK,Yorkshire and The Humber,1986725.0,35950.0,0.0,0.0,46376351.0,2023-03-01T00:00:00
UK,West Midlands,2105079.0,35308.7,0.0,0.0,53752654.0,2023-03-01T00:00:00
UK,East of England,2266202.0,36148.4,0.0,0.0,67081856.0,2023-03-01T00:00:00
UK,North West,2816178.0,38224.6,0.0,0.0,65952698.0,2023-03-01T00:00:00
UK,London,3138479.0,34862.4,0.0,0.0,77564541.0,2023-03-01T00:00:00
UK,South East,3361612.0,36470.8,0.0,0.0,100897795.0,2023-03-01T00:00:00
