country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,144926.0,7653.2,0.0,0.0,3005685.0,2021-07-21T00:00:00
UK,Wales,236382.0,7497.3,0.0,0.0,4266719.0,2021-07-21T00:00:00
UK,North East,286215.0,10719.9,0.0,0.0,0.0,2021-07-21T00:00:00
UK,South West,309030.0,5494.2,0.0,0.0,0.0,2021-07-21T00:00:00
UK,Scotland,335518.0,6141.3,0.0,0.0,7833722.0,2021-07-21T00:00:00
UK,East Midlands,408031.0,8437.5,0.0,0.0,0.0,2021-07-21T00:00:00
UK,East of England,471138.0,7555.0,0.0,0.0,0.0,2021-07-21T00:00:00
UK,Yorkshire and The Humber,522662.0,9497.8,0.0,0.0,0.0,2021-07-21T00:00:00
UK,West Midlands,536766.0,9045.5,0.0,0.0,0.0,2021-07-21T00:00:00
UK,South East,665428.0,7248.6,0.0,0.0,0.0,2021-07-21T00:00:00
UK,North West,817048.0,11129.6,0.0,0.0,0.0,2021-07-21T00:00:00
UK,London,861766.0,9615.8,0.0,0.0,0.0,2021-07-21T00:00:00
