country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,17254,911.1,0.0,0.0,561489.0,2020-10-07T00:00:00
UK,South West,22622,402.2,2344.0,41.7,0.0,2020-10-07T00:00:00
UK,Wales,30209,958.1,0.0,0.0,904706.0,2020-10-07T00:00:00
UK,East of England,35203,564.5,5052.0,81.0,0.0,2020-10-07T00:00:00
UK,Scotland,37219,681.3,0.0,0.0,1784993.0,2020-10-07T00:00:00
UK,North East,38174,1429.8,2773.0,103.9,0.0,2020-10-07T00:00:00
UK,East Midlands,44378,917.7,3730.0,77.1,0.0,2020-10-07T00:00:00
UK,South East,49098,534.8,6269.0,68.3,0.0,2020-10-07T00:00:00
UK,West Midlands,52299,881.3,5733.0,96.6,0.0,2020-10-07T00:00:00
UK,London,60241,672.2,7319.0,81.7,0.0,2020-10-07T00:00:00
UK,Yorkshire and The Humber,70283,1277.2,4552.0,82.7,0.0,2020-10-07T00:00:00
UK,North West,122972,1675.1,7990.0,108.8,0.0,2020-10-07T00:00:00
