country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,135374.0,7148.8,0.0,0.0,2906642.0,2021-07-14T00:00:00
UK,Wales,230518.0,7311.3,0.0,0.0,4165132.0,2021-07-14T00:00:00
UK,North East,264710.0,9914.5,0.0,0.0,0.0,2021-07-14T00:00:00
UK,South West,281328.0,5001.7,0.0,0.0,0.0,2021-07-14T00:00:00
UK,Scotland,323941.0,5929.4,0.0,0.0,7658318.0,2021-07-14T00:00:00
UK,East Midlands,384947.0,7960.1,0.0,0.0,0.0,2021-07-14T00:00:00
UK,East of England,444202.0,7123.1,0.0,0.0,0.0,2021-07-14T00:00:00
UK,Yorkshire and The Humber,490160.0,8907.2,0.0,0.0,0.0,2021-07-14T00:00:00
UK,West Midlands,506356.0,8533.1,0.0,0.0,0.0,2021-07-14T00:00:00
UK,South East,626956.0,6829.5,0.0,0.0,0.0,2021-07-14T00:00:00
UK,North West,776929.0,10583.1,0.0,0.0,0.0,2021-07-14T00:00:00
UK,London,822008.0,9172.2,0.0,0.0,0.0,2021-07-14T00:00:00
