country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,128669.0,6794.7,0.0,0.0,2793790.0,2021-07-03T00:00:00
UK,Wales,221559.0,7027.2,0.0,0.0,3988912.0,2021-07-03T00:00:00
UK,North East,227389.0,8516.6,0.0,0.0,0.0,2021-07-03T00:00:00
UK,South West,250596.0,4455.3,0.0,0.0,0.0,2021-07-03T00:00:00
UK,Scotland,297303.0,5441.8,0.0,0.0,7335311.0,2021-07-03T00:00:00
UK,East Midlands,356936.0,7380.9,0.0,0.0,0.0,2021-07-03T00:00:00
UK,East of England,415034.0,6655.4,0.0,0.0,0.0,2021-07-03T00:00:00
UK,Yorkshire and The Humber,445359.0,8093.1,0.0,0.0,0.0,2021-07-03T00:00:00
UK,West Midlands,468020.0,7887.0,0.0,0.0,0.0,2021-07-03T00:00:00
UK,South East,584161.0,6363.3,0.0,0.0,0.0,2021-07-03T00:00:00
UK,North West,718830.0,9791.7,0.0,0.0,0.0,2021-07-03T00:00:00
UK,London,777373.0,8674.1,0.0,0.0,0.0,2021-07-03T00:00:00
