country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Wales,904401,28533.7,0.0,0.0,0.0,2023-09-09T00:00:00
UK,North East,1052929,39277.2,0.0,0.0,23210082.0,2023-09-09T00:00:00
UK,East Midlands,1783089,36647.0,0.0,0.0,45048555.0,2023-09-09T00:00:00
UK,South West,2006573,35457.2,0.0,0.0,61520096.0,2023-09-09T00:00:00
UK,Yorkshire and The Humber,2014264,36448.4,0.0,0.0,46874159.0,2023-09-09T00:00:00
UK,West Midlands,2133999,35793.8,0.0,0.0,54049033.0,2023-09-09T00:00:00
UK,Scotland,2185466,39982.9,0.0,0.0,17776563.0,2023-09-09T00:00:00
UK,East of England,2295551,36616.6,0.0,0.0,67367787.0,2023-09-09T00:00:00
UK,North West,2854090,38739.2,0.0,0.0,66303998.0,2023-09-09T00:00:00
UK,London,3168015,35190.4,0.0,0.0,78048233.0,2023-09-09T00:00:00
UK,South East,3409793,36993.5,0.0,0.0,101316352.0,2023-09-09T00:00:00
