country,nuts_1,cases,cases/100k pop.,deaths,deaths/100k pop.,tests,datetime
UK,Northern Ireland,115116.0,6079.0,0.0,0.0,1749147.0,2021-03-15T00:00:00
UK,North East,186950.0,7002.0,7631.0,285.8,0.0,2021-03-15T00:00:00
UK,Wales,207187.0,6571.4,0.0,0.0,2868063.0,2021-03-15T00:00:00
UK,Scotland,210981.0,3861.8,0.0,0.0,4862277.0,2021-03-15T00:00:00
UK,South West,215188.0,3825.8,8408.0,149.5,0.0,2021-03-15T00:00:00
UK,East Midlands,315778.0,6529.8,12613.0,260.8,0.0,2021-03-15T00:00:00
UK,Yorkshire and The Humber,369539.0,6715.3,13699.0,248.9,0.0,2021-03-15T00:00:00
UK,East of England,378641.0,6071.8,16416.0,263.2,0.0,2021-03-15T00:00:00
UK,West Midlands,416814.0,7024.1,16868.0,284.3,0.0,2021-03-15T00:00:00
UK,South East,527688.0,5748.2,21456.0,233.7,0.0,2021-03-15T00:00:00
UK,North West,589539.0,8030.6,22724.0,309.5,0.0,2021-03-15T00:00:00
UK,London,705168.0,7868.4,18935.0,211.3,0.0,2021-03-15T00:00:00
