country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podkarpackie,87056,5.0,2694,3573,1365,17588,2021-03-14T00:00:00
PL,dolnośląskie,40999,4.36,1140,4151,1388,20489,2021-03-14T00:00:00
PL,pomorskie,137018,5.62,2992,4713,1380,24996,2021-03-14T00:00:00
PL,małopolskie,36271,4.04,992,4327,1445,21895,2021-03-14T00:00:00
PL,wielkopolskie,184732,4.31,4736,4787,1586,25525,2021-03-14T00:00:00
PL,śląskie,63950,5.17,1872,6318,2406,30927,2021-03-14T00:00:00
PL,podlaskie,52420,2.35,1501,981,298,7400,2021-03-14T00:00:00
PL,opolskie,46901,3.0,1399,1306,307,4509,2021-03-14T00:00:00
PL,świętokrzyskie,12557,2.46,515,1665,429,5804,2021-03-14T00:00:00
PL,mazowieckie,254485,6.32,6109,11339,4196,57160,2021-03-14T00:00:00
PL,lubelskie,89928,2.08,3134,2170,473,10352,2021-03-14T00:00:00
PL,zachodniopomorskie,93528,2.64,1982,1907,482,9750,2021-03-14T00:00:00
PL,lubuskie,50243,5.12,1278,1579,544,8546,2021-03-14T00:00:00
PL,warmińsko-mazurskie,45736,5.34,1081,2039,789,15587,2021-03-14T00:00:00
PL,łódzkie,37094,3.19,1489,2946,820,16301,2021-03-14T00:00:00
PL,kujawsko-pomorskie,131162,4.07,3039,2861,969,15903,2021-03-14T00:00:00
