country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,2,3.0,0.0,2020-03-16T14:30:00
SE,Dalarna,4,1.0,0.0,2020-03-16T14:30:00
SE,Västmanland,5,2.0,0.0,2020-03-16T14:30:00
SE,Norrbotten,6,2.0,1.0,2020-03-16T14:30:00
SE,Kalmar,7,3.0,1.0,2020-03-16T14:30:00
SE,Gävleborg,8,3.0,1.0,2020-03-16T14:30:00
SE,Örebro,9,3.0,1.0,2020-03-16T14:30:00
SE,Blekinge,9,6.0,1.0,2020-03-16T14:30:00
SE,Västernorrland,12,5.0,1.0,2020-03-16T14:30:00
SE,Västerbotten,13,5.0,1.0,2020-03-16T14:30:00
SE,Kronoberg,15,7.0,1.0,2020-03-16T14:30:00
SE,Södermanland,17,6.0,2.0,2020-03-16T14:30:00
SE,Jämtland Härjedalen,19,15.0,2.0,2020-03-16T14:30:00
SE,Östergötland,26,6.0,2.0,2020-03-16T14:30:00
SE,Värmland,31,11.0,3.0,2020-03-16T14:30:00
SE,Uppsala,38,10.0,4.0,2020-03-16T14:30:00
SE,Halland,42,13.0,4.0,2020-03-16T14:30:00
SE,Jönköping,42,12.0,4.0,2020-03-16T14:30:00
SE,Västra Götaland,176,10.0,17.0,2020-03-16T14:30:00
SE,Skåne,201,15.0,19.0,2020-03-16T14:30:00
SE,Stockholm,377,16.0,36.0,2020-03-16T14:30:00
