country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,12353,20573.3583984375,101,47,2023-02-22T00:00:00
SE,Blekinge,32329,20314.5144042969,212,97,2023-02-22T00:00:00
SE,Jämtland Härjedalen,35365,26973.5551757813,225,101,2023-02-22T00:00:00
SE,Norrbotten,52051,20846.5300292969,554,278,2023-02-22T00:00:00
SE,Kronoberg,53979,26705.5498046875,444,172,2023-02-22T00:00:00
SE,Västernorrland,58748,24008.5385742188,789,234,2023-02-22T00:00:00
SE,Västerbotten,62508,22897.3852539063,464,209,2023-02-22T00:00:00
SE,Kalmar,65650,26692.3041992188,450,144,2023-02-22T00:00:00
SE,Sörmland,71777,23993.1896972656,794,451,2023-02-22T00:00:00
SE,Värmland,72968,25797.9265136719,510,212,2023-02-22T00:00:00
SE,Gävleborg,75994,26434.7612304688,838,357,2023-02-22T00:00:00
SE,Dalarna,81007,28155.2607421875,661,275,2023-02-22T00:00:00
SE,Västmanland,81111,29291.1264648438,638,167,2023-02-22T00:00:00
SE,Jönköping,92534,25369.9892578125,853,439,2023-02-22T00:00:00
SE,Uppsala,97691,25210.103515625,822,485,2023-02-22T00:00:00
SE,Östergötland,101804,21803.2421875,1020,469,2023-02-22T00:00:00
SE,Örebro,104303,34138.0366210938,625,290,2023-02-22T00:00:00
SE,Halland,113086,33615.2756347656,647,250,2023-02-22T00:00:00
SE,Skåne,357353,25763.4946289063,2988,853,2023-02-22T00:00:00
SE,Västra Götaland,455546,26286.1274414063,3816,1771,2023-02-22T00:00:00
SE,Stockholm,619670,25937.6962890625,6211,2743,2023-02-22T00:00:00
