country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,9489,15809.8701171875,56,35,2022-01-31T00:00:00
SE,Blekinge,24680,15505.5153808594,140,72,2022-01-31T00:00:00
SE,Jämtland Härjedalen,28665,21865.0961914063,145,89,2022-01-31T00:00:00
SE,Norrbotten,41981,16812.3005371094,305,238,2022-01-31T00:00:00
SE,Kronoberg,42278,20920.5078125,341,137,2022-01-31T00:00:00
SE,Västerbotten,44678,16370.8393554688,210,164,2022-01-31T00:00:00
SE,Västernorrland,46018,18803.1450195313,492,190,2022-01-31T00:00:00
SE,Kalmar,47089,19147.4877929688,272,118,2022-01-31T00:00:00
SE,Värmland,52114,18426.0261230469,239,149,2022-01-31T00:00:00
SE,Sörmland,55395,18521.5979003906,501,423,2022-01-31T00:00:00
SE,Dalarna,56950,19792.7275390625,381,212,2022-01-31T00:00:00
SE,Gävleborg,63236,21997.2280273438,588,276,2022-01-31T00:00:00
SE,Västmanland,64652,23352.2729492188,396,146,2022-01-31T00:00:00
SE,Örebro,74707,24454.8452148438,371,245,2022-01-31T00:00:00
SE,Jönköping,77020,21119.693359375,592,378,2022-01-31T00:00:00
SE,Uppsala,79457,20515.3857421875,585,447,2022-01-31T00:00:00
SE,Östergötland,81459,17448.1845703125,682,393,2022-01-31T00:00:00
SE,Halland,92414,27476.5607910156,349,196,2022-01-31T00:00:00
SE,Skåne,298924,21557.9614257813,1967,747,2022-01-31T00:00:00
SE,Västra Götaland,376127,21707.1938476563,2618,1539,2022-01-31T00:00:00
SE,Stockholm,526577,22045.8330078125,4731,2427,2022-01-31T00:00:00
