country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,162,271.420440673828,6,6,2020-07-02T00:00:00
SE,Blekinge,449,281.317749023438,14,8,2020-07-02T00:00:00
SE,Kalmar,674,274.602142333984,57,29,2020-07-02T00:00:00
SE,Västerbotten,722,265.699066162109,31,32,2020-07-02T00:00:00
SE,Värmland,961,340.280578613281,69,31,2020-07-02T00:00:00
SE,Jämtland Härjedalen,1039,794.281799316406,54,16,2020-07-02T00:00:00
SE,Kronoberg,1068,530.106384277344,96,23,2020-07-02T00:00:00
SE,Norrbotten,1344,537.400085449219,67,52,2020-07-02T00:00:00
SE,Västernorrland,1403,571.843139648438,117,51,2020-07-02T00:00:00
SE,Halland,1538,460.688690185547,72,35,2020-07-02T00:00:00
SE,Dalarna,1681,583.749450683594,157,64,2020-07-02T00:00:00
SE,Sörmland,2214,744.101623535156,244,130,2020-07-02T00:00:00
SE,Västmanland,2298,833.076538085938,166,52,2020-07-02T00:00:00
SE,Örebro,2363,775.249755859375,164,80,2020-07-02T00:00:00
SE,Gävleborg,2531,880.709289550781,133,68,2020-07-02T00:00:00
SE,Skåne,3095,224.62907409668,246,109,2020-07-02T00:00:00
SE,Östergötland,3278,704.196594238281,224,107,2020-07-02T00:00:00
SE,Uppsala,3330,867.836120605469,226,152,2020-07-02T00:00:00
SE,Jönköping,4102,1128.16589355469,169,89,2020-07-02T00:00:00
SE,Västra Götaland,15628,905.508544921875,762,418,2020-07-02T00:00:00
SE,Stockholm,20759,873.297973632813,2337,892,2020-07-02T00:00:00
