country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,544,911.4365234375,7,7,2020-11-05T00:00:00
SE,Blekinge,1154,723.030456542969,19,10,2020-11-05T00:00:00
SE,Kalmar,1481,603.391357421875,64,32,2020-11-05T00:00:00
SE,Jämtland Härjedalen,1736,1327.11572265625,64,23,2020-11-05T00:00:00
SE,Västerbotten,1793,659.831604003906,32,34,2020-11-05T00:00:00
SE,Värmland,1966,696.14111328125,76,36,2020-11-05T00:00:00
SE,Västernorrland,2355,959.864990234375,138,52,2020-11-05T00:00:00
SE,Norrbotten,2620,1047.61022949219,88,69,2020-11-05T00:00:00
SE,Kronoberg,2906,1442.40551757813,126,30,2020-11-05T00:00:00
SE,Sörmland,3587,1205.55224609375,257,139,2020-11-05T00:00:00
SE,Dalarna,3856,1339.04699707031,186,71,2020-11-05T00:00:00
SE,Halland,4052,1213.72595214844,89,47,2020-11-05T00:00:00
SE,Gävleborg,4234,1473.30029296875,171,78,2020-11-05T00:00:00
SE,Västmanland,4461,1617.21252441406,185,61,2020-11-05T00:00:00
SE,Örebro,5957,1954.3642578125,177,88,2020-11-05T00:00:00
SE,Östergötland,6770,1454.36572265625,256,116,2020-11-05T00:00:00
SE,Uppsala,6943,1809.42529296875,257,174,2020-11-05T00:00:00
SE,Jönköping,7705,2119.0927734375,190,108,2020-11-05T00:00:00
SE,Skåne,12641,917.459167480469,297,136,2020-11-05T00:00:00
SE,Västra Götaland,28085,1627.28479003906,887,501,2020-11-05T00:00:00
SE,Stockholm,41615,1750.67651367188,2456,982,2020-11-05T00:00:00
