country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,68863,59926,482,4639604,83,6,2022-03-04T09:30:00+01:00
AT,Vorarlberg,137282,122686,493,6686897,75,7,2022-03-04T09:30:00+01:00
AT,Kärnten,172103,155888,1181,6277919,192,19,2022-03-04T09:30:00+01:00
AT,Salzburg,212007,193195,851,10102022,107,5,2022-03-04T09:30:00+01:00
AT,Tirol,270427,248069,877,8903384,238,19,2022-03-04T09:30:00+01:00
AT,Steiermark,348406,308895,2654,19444275,378,29,2022-03-04T09:30:00+01:00
AT,Niederösterreich,490126,428044,2826,31336870,464,26,2022-03-04T09:30:00+01:00
AT,Oberösterreich,521726,478810,2518,22815447,385,24,2022-03-04T09:30:00+01:00
AT,Wien,587068,509978,3078,51315931,625,58,2022-03-04T09:30:00+01:00
AT,Österreich,2808008,2505491,14960,161522349,2547,193,2022-03-04T09:30:00+01:00
