country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18819,18280,343,2708133,8,1,2021-08-21T09:30:00+02:00
AT,Vorarlberg,31999,31123,308,4267729,14,2,2021-08-21T09:30:00+02:00
AT,Kärnten,41322,40135,822,3389743,17,4,2021-08-21T09:30:00+02:00
AT,Salzburg,51227,49834,589,4905441,15,4,2021-08-21T09:30:00+02:00
AT,Tirol,66145,64624,637,5751320,27,7,2021-08-21T09:30:00+02:00
AT,Steiermark,82282,78920,2101,10322177,44,11,2021-08-21T09:30:00+02:00
AT,Niederösterreich,114297,110214,1831,14229083,53,11,2021-08-21T09:30:00+02:00
AT,Oberösterreich,121267,117684,1759,11836158,50,8,2021-08-21T09:30:00+02:00
AT,Wien,148047,142082,2371,16092764,98,22,2021-08-21T09:30:00+02:00
AT,Österreich,675405,652896,10761,73502548,326,70,2021-08-21T09:30:00+02:00
