country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18608,18170,343,2588272,1,1,2021-08-08T09:30:00+02:00
AT,Vorarlberg,31385,30763,308,4057687,4,1,2021-08-08T09:30:00+02:00
AT,Kärnten,40790,39730,822,3059329,13,2,2021-08-08T09:30:00+02:00
AT,Salzburg,50328,49256,588,4466674,5,1,2021-08-08T09:30:00+02:00
AT,Tirol,65082,63868,637,5604332,14,4,2021-08-08T09:30:00+02:00
AT,Steiermark,80903,78207,2096,9638965,16,5,2021-08-08T09:30:00+02:00
AT,Niederösterreich,112491,109275,1829,13532624,22,5,2021-08-08T09:30:00+02:00
AT,Oberösterreich,118837,116455,1759,11009949,16,2,2021-08-08T09:30:00+02:00
AT,Wien,144658,140419,2368,15325371,55,19,2021-08-08T09:30:00+02:00
AT,Österreich,663082,646143,10750,69283203,146,40,2021-08-08T09:30:00+02:00
