country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,978,705,11,51576,14,4,2020-10-06T15:00:00
AT,Kärnten,1024,844,13,83925,10,2,2020-10-06T15:00:00
AT,Vorarlberg,2167,1688,23,97220,18,5,2020-10-06T15:00:00
AT,Salzburg,2502,2052,43,89055,13,1,2020-10-06T15:00:00
AT,Steiermark,3826,3097,170,165584,47,12,2020-10-06T15:00:00
AT,Tirol,6530,5806,109,240971,22,3,2020-10-06T15:00:00
AT,Oberösterreich,7299,6228,74,219940,53,5,2020-10-06T15:00:00
AT,Niederösterreich,7633,6216,117,283329,88,17,2020-10-06T15:00:00
AT,Wien,18326,13154,262,484905,233,52,2020-10-06T15:00:00
AT,,50285,39790,822,1716505,498,101,2020-10-06T15:00:00
