country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18563,18128,343,2532986,1,1,2021-08-02T09:30:00+02:00
AT,Vorarlberg,31196,30631,308,3961420,6,2,2021-08-02T09:30:00+02:00
AT,Kärnten,40635,39586,822,2902915,9,1,2021-08-02T09:30:00+02:00
AT,Salzburg,50046,48986,588,4250646,2,0,2021-08-02T09:30:00+02:00
AT,Tirol,64677,63645,636,5518936,8,2,2021-08-02T09:30:00+02:00
AT,Steiermark,80550,77891,2095,9284259,6,1,2021-08-02T09:30:00+02:00
AT,Niederösterreich,112063,108955,1825,13179751,14,6,2021-08-02T09:30:00+02:00
AT,Oberösterreich,118305,116064,1758,10619481,17,3,2021-08-02T09:30:00+02:00
AT,Wien,143837,139808,2364,14951518,61,15,2021-08-02T09:30:00+02:00
AT,Österreich,659872,643694,10739,67201912,124,31,2021-08-02T09:30:00+02:00
