country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,295,167,7,2209,18,5,2020-04-18T08:00:00
AT,Kärnten,395,274,8,6956,18,8,2020-04-18T08:00:00
AT,Vorarlberg,855,665,8,6998,23,10,2020-04-18T08:00:00
AT,Salzburg,1191,875,28,13659,96,19,2020-04-18T08:00:00
AT,Steiermark,1638,717,97,17998,134,22,2020-04-18T08:00:00
AT,Wien,2159,1381,86,35603,165,39,2020-04-18T08:00:00
AT,Oberösterreich,2194,1753,37,27858,101,30,2020-04-18T08:00:00
AT,Niederösterreich,2461,1498,77,18269,219,40,2020-04-18T08:00:00
AT,Tirol,3407,2374,83,39722,135,54,2020-04-18T08:00:00
AT,,14595,9704,431,169272,909,227,2020-04-18T08:00:00
