country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,344,329,11,15668,0,0,2020-06-19T09:30:00
AT,Kärnten,418,402,13,23094,0,0,2020-06-19T09:30:00
AT,Vorarlberg,907,888,19,26173,0,0,2020-06-19T09:30:00
AT,Salzburg,1230,1202,38,35638,0,0,2020-06-19T09:30:00
AT,Steiermark,1845,1661,151,60149,5,1,2020-06-19T09:30:00
AT,Oberösterreich,2335,2240,61,72865,7,0,2020-06-19T09:30:00
AT,Niederösterreich,2937,2761,100,94919,11,1,2020-06-19T09:30:00
AT,Tirol,3541,3442,108,81105,1,0,2020-06-19T09:30:00
AT,Wien,3618,3216,187,142519,51,5,2020-06-19T09:30:00
AT,,17175,16141,688,552130,75,7,2020-06-19T09:30:00
