country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,32050,31004,438,3679860,49,13,2022-01-02T09:30:00+01:00
AT,Vorarlberg,63844,61152,427,5622433,40,15,2022-01-02T09:30:00+01:00
AT,Kärnten,84416,81888,1095,5649888,93,23,2022-01-02T09:30:00+01:00
AT,Salzburg,103497,100109,788,8691706,41,17,2022-01-02T09:30:00+01:00
AT,Tirol,122530,117111,810,7340919,118,44,2022-01-02T09:30:00+01:00
AT,Steiermark,152839,146999,2479,16474803,126,32,2022-01-02T09:30:00+01:00
AT,Niederösterreich,221533,213860,2568,21605533,173,57,2022-01-02T09:30:00+01:00
AT,Wien,243316,231165,2798,35693180,236,78,2022-01-02T09:30:00+01:00
AT,Oberösterreich,261485,255623,2349,19348104,97,46,2022-01-02T09:30:00+01:00
AT,Österreich,1285510,1238911,13752,124106426,973,325,2022-01-02T09:30:00+01:00
