country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,451,412,11,26688,1,0,2020-08-20T15:00:00
AT,Kärnten,604,494,13,49448,2,1,2020-08-20T15:00:00
AT,Vorarlberg,1043,959,20,53611,2,0,2020-08-20T15:00:00
AT,Salzburg,1579,1355,39,54143,4,0,2020-08-20T15:00:00
AT,Steiermark,2267,1953,156,97384,8,2,2020-08-20T15:00:00
AT,Niederösterreich,3703,3339,108,185069,19,2,2020-08-20T15:00:00
AT,Tirol,3907,3640,108,179776,11,2,2020-08-20T15:00:00
AT,Oberösterreich,4280,3767,67,146606,17,4,2020-08-20T15:00:00
AT,Wien,6601,5174,207,268712,52,10,2020-08-20T15:00:00
AT,,24435,21093,729,1061437,116,21,2020-08-20T15:00:00
