country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,436,401,11,24446,1,0,2020-08-14T08:00:00
AT,Kärnten,532,455,13,45427,3,0,2020-08-14T08:00:00
AT,Vorarlberg,1002,946,19,49350,2,0,2020-08-14T08:00:00
AT,Salzburg,1501,1331,39,51374,3,0,2020-08-14T08:00:00
AT,Steiermark,2180,1911,155,88320,10,5,2020-08-14T08:00:00
AT,Niederösterreich,3555,3256,108,174574,21,3,2020-08-14T08:00:00
AT,Tirol,3777,3596,108,171150,7,0,2020-08-14T08:00:00
AT,Oberösterreich,3961,3634,67,133497,16,5,2020-08-14T08:00:00
AT,Wien,5825,4816,205,253370,51,9,2020-08-14T08:00:00
AT,,22769,20346,725,991508,114,22,2020-08-14T08:00:00
