country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,512,445,11,33297,1,1,2020-09-02T15:00:00
AT,Kärnten,652,604,13,60984,3,1,2020-09-02T15:00:00
AT,Vorarlberg,1113,1024,20,63006,5,1,2020-09-02T15:00:00
AT,Salzburg,1701,1472,39,58440,7,0,2020-09-02T15:00:00
AT,Steiermark,2547,2120,157,115205,7,0,2020-09-02T15:00:00
AT,Niederösterreich,4090,3653,108,206661,22,8,2020-09-02T15:00:00
AT,Tirol,4302,3977,108,193666,7,0,2020-09-02T15:00:00
AT,Oberösterreich,4748,4300,67,162015,21,3,2020-09-02T15:00:00
AT,Wien,8274,6225,211,317294,84,16,2020-09-02T15:00:00
AT,,27939,23820,734,1210568,157,30,2020-09-02T15:00:00
