country,nuts_2,cases,hospitalized,intensive_care,datetime
AT,Burgenland,187,10.0,3,2020-03-31T09:30:00
AT,Kärnten,288,32.0,12,2020-03-31T09:30:00
AT,Vorarlberg,666,62.0,12,2020-03-31T09:30:00
AT,Salzburg,949,63.0,9,2020-03-31T09:30:00
AT,Steiermark,1085,149.0,24,2020-03-31T09:30:00
AT,Wien,1458,191.0,22,2020-03-31T09:30:00
AT,Oberösterreich,1656,167.0,27,2020-03-31T09:30:00
AT,Niederösterreich,1676,223.0,32,2020-03-31T09:30:00
AT,Tirol,2401,213.0,57,2020-03-31T09:30:00
AT,,10366,1.11,198,2020-03-31T09:30:00
