country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,9283,8804,178,115045,42,7,2021-01-01T09:30:00
AT,Vorarlberg,19311,18652,219,237960,64,17,2021-01-01T09:30:00
AT,Kärnten,21242,19517,523,173185,127,13,2021-01-01T09:30:00
AT,Salzburg,28615,25310,333,218627,146,20,2021-01-01T09:30:00
AT,Tirol,40484,38670,477,460462,128,34,2021-01-01T09:30:00
AT,Steiermark,42390,37664,1331,396082,383,65,2021-01-01T09:30:00
AT,Niederösterreich,54148,50115,862,704329,373,49,2021-01-01T09:30:00
AT,Oberösterreich,72012,67952,1222,468813,507,73,2021-01-01T09:30:00
AT,Wien,73014,68217,1116,1082879,473,107,2021-01-01T09:30:00
AT,,360499,334901,6261,3857382,2243,385,2021-01-01T09:30:00
