country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,138429,135015,578,5507033,57,2,2022-08-24T09:30:00+02:00
AT,Vorarlberg,227279,226115,574,7160020,14,2,2022-08-24T09:30:00+02:00
AT,Kärnten,276371,271508,1660,6731531,107,8,2022-08-24T09:30:00+02:00
AT,Salzburg,328189,324677,1179,10810268,74,2,2022-08-24T09:30:00+02:00
AT,Tirol,394910,391104,954,9736837,68,1,2022-08-24T09:30:00+02:00
AT,Steiermark,613044,603962,3449,21559360,122,7,2022-08-24T09:30:00+02:00
AT,Oberösterreich,851672,842356,2919,24932796,110,11,2022-08-24T09:30:00+02:00
AT,Niederösterreich,942446,917051,3871,40166179,220,19,2022-08-24T09:30:00+02:00
AT,Wien,1103903,1076170,4188,68443284,341,22,2022-08-24T09:30:00+02:00
AT,Österreich,4876243,4787958,19372,195047308,1113,74,2022-08-24T09:30:00+02:00
