country,nuts_2,cases,hospitalized,intensive_care,datetime
AT,Burgenland,142,12.0,4.0,2020-03-28T08:00:00
AT,Kärnten,207,23.0,9.0,2020-03-28T08:00:00
AT,Vorarlberg,535,41.0,11.0,2020-03-28T08:00:00
AT,Salzburg,750,43.0,10.0,2020-03-28T08:00:00
AT,Steiermark,819,125.0,23.0,2020-03-28T08:00:00
AT,Wien,1033,118.0,29.0,2020-03-28T08:00:00
AT,Niederösterreich,1226,150.0,20.0,2020-03-28T08:00:00
AT,Oberösterreich,1288,,,2020-03-28T08:00:00
AT,Tirol,1823,176.0,43.0,2020-03-28T08:00:00
AT,,7823,770.0,159.0,2020-03-28T08:00:00
