country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,348,332,11,16441,0,0,2020-06-27T09:30:00
AT,Kärnten,429,402,13,25956,1,0,2020-06-27T09:30:00
AT,Vorarlberg,910,891,19,28316,0,0,2020-06-27T09:30:00
AT,Salzburg,1246,1201,38,37607,4,0,2020-06-27T09:30:00
AT,Steiermark,1861,1677,153,63610,1,1,2020-06-27T09:30:00
AT,Oberösterreich,2398,2269,61,77276,10,0,2020-06-27T09:30:00
AT,Niederösterreich,2983,2794,102,105134,15,2,2020-06-27T09:30:00
AT,Tirol,3547,3444,108,84343,4,1,2020-06-27T09:30:00
AT,Wien,3775,3361,195,158812,36,6,2020-06-27T09:30:00
AT,,17498,16371,700,597495,71,10,2020-06-27T09:30:00
