country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,135101,131528,575,5446623,66,7,2022-08-03T09:30:00+02:00
AT,Vorarlberg,224554,223160,561,7143899,33,2,2022-08-03T09:30:00+02:00
AT,Kärnten,269093,263791,1652,6695948,98,5,2022-08-03T09:30:00+02:00
AT,Salzburg,322615,318435,1167,10764312,78,2,2022-08-03T09:30:00+02:00
AT,Tirol,388701,383926,952,9698384,111,2,2022-08-03T09:30:00+02:00
AT,Steiermark,600729,590043,3430,21405533,171,8,2022-08-03T09:30:00+02:00
AT,Oberösterreich,837722,826396,2897,24796644,179,6,2022-08-03T09:30:00+02:00
AT,Niederösterreich,917629,888468,3802,40057375,281,12,2022-08-03T09:30:00+02:00
AT,Wien,1067666,1024688,4115,67662871,447,35,2022-08-03T09:30:00+02:00
AT,Österreich,4763810,4650435,19151,193671589,1464,79,2022-08-03T09:30:00+02:00
