country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,379,355,11,19092,0,0,2020-07-18T09:30:00
AT,Kärnten,448,416,13,34139,1,0,2020-07-18T09:30:00
AT,Vorarlberg,918,897,19,37165,1,0,2020-07-18T09:30:00
AT,Salzburg,1318,1239,38,43108,4,0,2020-07-18T09:30:00
AT,Steiermark,1978,1717,154,75367,5,1,2020-07-18T09:30:00
AT,Niederösterreich,3175,2892,105,134884,17,4,2020-07-18T09:30:00
AT,Oberösterreich,3215,2652,61,104668,30,1,2020-07-18T09:30:00
AT,Tirol,3608,3476,108,95669,1,0,2020-07-18T09:30:00
AT,Wien,4445,3857,202,198998,39,5,2020-07-18T09:30:00
AT,,19484,17501,711,743090,98,11,2020-07-18T09:30:00
