country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,28.0,0.0,,,,2020-09-16
CH,Obwalden,OW,109.0,0.0,,0.0,,2020-09-16
CH,Nidwalden,NW,139.0,3.0,,0.0,1.0,2020-09-16
CH,Uri,UR,139.0,7.0,,0.0,,2020-09-16
CH,Glarus,GL,169.0,13.0,,0.0,0.0,2020-09-16
CH,Schaffhausen,SH,181.0,8.0,,0.0,0.0,2020-09-16
CH,Jura,JU,286.0,0.0,,7.0,0.0,2020-09-16
CH,Zug,ZG,409.0,9.0,,1.0,0.0,2020-09-16
CH,Schwyz,SZ,541.0,25.0,,,,2020-09-16
CH,Thurgau,TG,665.0,20.0,,1.0,2.0,2020-09-16
CH,Solothurn,SO,776.0,18.0,,2.0,,2020-09-16
CH,Neuchâtel,NE,1007.0,87.0,,2.0,1.0,2020-09-16
CH,Grisons,GR,1055.0,50.0,,1.0,0.0,2020-09-16
CH,Lucerne,LU,1125.0,23.0,,6.0,0.0,2020-09-16
CH,Basel-Landschaft,BL,1151.0,35.0,,3.0,0.0,2020-09-16
CH,Basel-Stadt,BS,1279.0,54.0,,2.0,1.0,2020-09-16
CH,St. Gallen,SG,1481.0,41.0,,8.0,1.0,2020-09-16
CH,Fribourg,FR,2185.0,95.0,,16.0,1.0,2020-09-16
CH,Aargau,AG,2442.0,53.0,,4.0,2.0,2020-09-16
CH,Valais,VS,2519.0,140.0,,20.0,0.0,2020-09-16
CH,Berne,BE,3041.0,94.0,,10.0,2.0,2020-09-16
CH,Ticino,TI,3596.0,350.0,,1.0,0.0,2020-09-16
CH,Zürich,ZH,7133.0,148.0,,14.0,11.0,2020-09-16
CH,Geneva,GE,7171.0,292.0,,22.0,1.0,2020-09-16
CH,Vaud,VD,9236.0,310.0,,53.0,3.0,2020-09-16
CH,,,48014.0,1878.0,72603.0,176.0,26.0,2020-09-16
CH,Appenzell Ausserrhoden,AR,,,,,,2020-09-16
