country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1019.0,15.0,,3.0,,2021-05-04
CH,Obwalden,OW,2303.0,39.0,,2.0,,2021-05-04
CH,Nidwalden,NW,2488.0,23.0,,2.0,1.0,2021-05-04
CH,Glarus,GL,2625.0,73.0,,7.0,0.0,2021-05-04
CH,Uri,UR,2968.0,47.0,,5.0,,2021-05-04
CH,Schaffhausen,SH,4393.0,76.0,,6.0,3.0,2021-05-04
CH,Jura,JU,6451.0,143.0,,7.0,1.0,2021-05-04
CH,Zug,ZG,8035.0,118.0,,3.0,2.0,2021-05-04
CH,Schwyz,SZ,11235.0,223.0,,,,2021-05-04
CH,Basel-Stadt,BS,12155.0,199.0,,43.0,11.0,2021-05-04
CH,Grisons,GR,12918.0,185.0,,11.0,8.0,2021-05-04
CH,Neuchâtel,NE,16599.0,403.0,,15.0,3.0,2021-05-04
CH,Solothurn,SO,16888.0,266.0,,25.0,6.0,2021-05-04
CH,Basel-Landschaft,BL,17320.0,218.0,,22.0,4.0,2021-05-04
CH,Thurgau,TG,17872.0,446.0,,18.0,13.0,2021-05-04
CH,Lucerne,LU,26910.0,,,56.0,,2021-05-04
CH,Fribourg,FR,30998.0,477.0,,26.0,8.0,2021-05-04
CH,Ticino,TI,32328.0,991.0,,47.0,13.0,2021-05-04
CH,Valais,VS,36732.0,666.0,,25.0,8.0,2021-05-04
CH,St. Gallen,SG,40055.0,707.0,,42.0,9.0,2021-05-04
CH,Aargau,AG,45499.0,692.0,,64.0,14.0,2021-05-04
CH,Geneva,GE,52001.0,876.0,,63.0,7.0,2021-05-04
CH,Berne,BE,62118.0,1079.0,,84.0,34.0,2021-05-04
CH,Vaud,VD,80639.0,1006.0,,101.0,21.0,2021-05-04
CH,Zürich,ZH,107530.0,1385.0,,147.0,57.0,2021-05-04
CH,,,652946.0,10725.0,388935.0,847.0,239.0,2021-05-04
CH,Appenzell Ausserrhoden,AR,,,,,,2021-05-04
