country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,24.0,0.0,,,,2020-04-14
CH,Schaffhausen,SH,59.0,1.0,,4.0,2.0,2020-04-14
CH,Obwalden,OW,64.0,0.0,,0.0,,2020-04-14
CH,Uri,UR,78.0,4.0,,3.0,,2020-04-14
CH,Appenzell Ausserrhoden,AR,79.0,3.0,,,,2020-04-14
CH,Glarus,GL,105.0,2.0,,2.0,,2020-04-14
CH,Nidwalden,NW,105.0,1.0,,5.0,2.0,2020-04-14
CH,Zug,ZG,171.0,5.0,,4.0,9.0,2020-04-14
CH,Jura,JU,178.0,0.0,,22.0,6.0,2020-04-14
CH,Schwyz,SZ,258.0,13.0,,,,2020-04-14
CH,Thurgau,TG,303.0,10.0,,9.0,15.0,2020-04-14
CH,Solothurn,SO,325.0,8.0,,22.0,,2020-04-14
CH,Lucerne,LU,577.0,14.0,,21.0,4.0,2020-04-14
CH,Neuchâtel,NE,599.0,59.0,,49.0,11.0,2020-04-14
CH,St. Gallen,SG,678.0,21.0,,50.0,9.0,2020-04-14
CH,Grisons,GR,753.0,37.0,,28.0,6.0,2020-04-14
CH,Basel-Landschaft,BL,820.0,24.0,,22.0,14.0,2020-04-14
CH,Fribourg,FR,882.0,57.0,,54.0,14.0,2020-04-14
CH,Basel-Stadt,BS,894.0,34.0,,71.0,7.0,2020-04-14
CH,Aargau,AG,930.0,29.0,,56.0,22.0,2020-04-14
CH,Berne,BE,1527.0,65.0,,54.0,31.0,2020-04-14
CH,Valais,VS,1687.0,83.0,,81.0,20.0,2020-04-14
CH,Ticino,TI,2912.0,258.0,,211.0,63.0,2020-04-14
CH,Zürich,ZH,3045.0,87.0,,149.0,0.0,2020-04-14
CH,Geneva,GE,4508.0,191.0,20004.0,294.0,42.0,2020-04-14
CH,Vaud,VD,4919.0,204.0,,245.0,66.0,2020-04-14
CH,,,26480.0,1210.0,20646.0,1464.0,343.0,2020-04-14
