country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,3175.0,22.0,,,,2022-01-03
CH,Uri,UR,6574.0,59.0,,5.0,,2022-01-03
CH,Glarus,GL,6692.0,100.0,,7.0,,2022-01-03
CH,Nidwalden,NW,7006.0,31.0,,3.0,2.0,2022-01-03
CH,Obwalden,OW,7309.0,55.0,,2.0,,2022-01-03
CH,Schaffhausen,SH,11216.0,102.0,,12.0,3.0,2022-01-03
CH,Jura,JU,13893.0,226.0,,41.0,1.0,2022-01-03
CH,Zug,ZG,17949.0,150.0,,8.0,6.0,2022-01-03
CH,Basel-Stadt,BS,26571.0,255.0,,61.0,18.0,2022-01-03
CH,Neuchâtel,NE,28996.0,429.0,,57.0,6.0,2022-01-03
CH,Schwyz,SZ,29479.0,329.0,,,,2022-01-03
CH,Grisons,GR,32972.0,232.0,,29.0,10.0,2022-01-03
CH,Solothurn,SO,36353.0,312.0,532476.0,25.0,16.0,2022-01-03
CH,Basel-Landschaft,BL,40429.0,262.0,,56.0,5.0,2022-01-03
CH,Thurgau,TG,48297.0,577.0,,42.0,15.0,2022-01-03
CH,Ticino,TI,55987.0,1051.0,,136.0,16.0,2022-01-03
CH,Fribourg,FR,57069.0,528.0,,33.0,6.0,2022-01-03
CH,Lucerne,LU,62493.0,416.0,,52.0,,2022-01-03
CH,Valais,VS,67681.0,733.0,,85.0,13.0,2022-01-03
CH,St. Gallen,SG,93541.0,807.0,,62.0,14.0,2022-01-03
CH,Aargau,AG,95133.0,861.0,,90.0,22.0,2022-01-03
CH,Geneva,GE,98435.0,938.0,,320.0,19.0,2022-01-03
CH,Berne,BE,140297.0,1376.0,,154.0,35.0,2022-01-03
CH,Zürich,ZH,222315.0,1624.0,,128.0,54.0,2022-01-03
CH,,,1358734.0,12544.0,771171.0,1658.0,319.0,2022-01-03
CH,Appenzell Ausserrhoden,AR,,,,,,2022-01-03
CH,Vaud,VD,,,,,,2022-01-03
