country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,21.0,0.0,,,,2020-04-07
CH,Schaffhausen,SH,50.0,1.0,,3.0,3.0,2020-04-07
CH,Obwalden,OW,60.0,0.0,,2.0,,2020-04-07
CH,Glarus,GL,63.0,2.0,,2.0,,2020-04-07
CH,Uri,UR,68.0,2.0,,7.0,,2020-04-07
CH,Appenzell Ausserrhoden,AR,69.0,3.0,,,,2020-04-07
CH,Nidwalden,NW,87.0,,,7.0,2.0,2020-04-07
CH,Zug,ZG,157.0,3.0,,7.0,8.0,2020-04-07
CH,Jura,JU,162.0,0.0,,29.0,5.0,2020-04-07
CH,Schwyz,SZ,185.0,7.0,,,,2020-04-07
CH,Thurgau,TG,250.0,8.0,,14.0,15.0,2020-04-07
CH,Solothurn,SO,264.0,3.0,,29.0,,2020-04-07
CH,Lucerne,LU,502.0,9.0,,21.0,6.0,2020-04-07
CH,Neuchâtel,NE,509.0,41.0,,54.0,10.0,2020-04-07
CH,St. Gallen,SG,620.0,13.0,,49.0,11.0,2020-04-07
CH,Grisons,GR,684.0,35.0,,41.0,8.0,2020-04-07
CH,Basel-Landschaft,BL,747.0,20.0,,33.0,18.0,2020-04-07
CH,Fribourg,FR,757.0,44.0,,56.0,22.0,2020-04-07
CH,Aargau,AG,795.0,19.0,,63.0,25.0,2020-04-07
CH,Basel-Stadt,BS,808.0,28.0,,83.0,14.0,2020-04-07
CH,Berne,BE,1346.0,36.0,,88.0,34.0,2020-04-07
CH,Valais,VS,1516.0,61.0,,106.0,25.0,2020-04-07
CH,Ticino,TI,2599.0,198.0,,263.0,72.0,2020-04-07
CH,Zürich,ZH,2675.0,57.0,,181.0,0.0,2020-04-07
CH,Vaud,VD,4495.0,162.0,,289.0,75.0,2020-04-07
CH,Geneva,GE,204135.0,204.0,17015.0,337.0,48.0,2020-04-07
CH,,,223624.0,956.0,17657.0,1772.0,401.0,2020-04-07
