country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,25.0,0.0,,,,2020-07-31
CH,Obwalden,OW,92.0,0.0,,0.0,,2020-07-31
CH,Appenzell Ausserrhoden,AR,109.0,3.0,,0.0,0.0,2020-07-31
CH,Uri,UR,116.0,7.0,,0.0,,2020-07-31
CH,Schaffhausen,SH,118.0,8.0,,0.0,2.0,2020-07-31
CH,Nidwalden,NW,129.0,3.0,,1.0,0.0,2020-07-31
CH,Glarus,GL,141.0,13.0,,1.0,,2020-07-31
CH,Jura,JU,254.0,0.0,,2.0,0.0,2020-07-31
CH,Zug,ZG,288.0,9.0,,2.0,0.0,2020-07-31
CH,Schwyz,SZ,403.0,25.0,,,,2020-07-31
CH,Thurgau,TG,468.0,20.0,,1.0,1.0,2020-07-31
CH,Solothurn,SO,526.0,18.0,,2.0,,2020-07-31
CH,Neuchâtel,NE,783.0,84.0,,2.0,0.0,2020-07-31
CH,Lucerne,LU,855.0,20.0,,7.0,5.0,2020-07-31
CH,Grisons,GR,923.0,50.0,,1.0,0.0,2020-07-31
CH,Basel-Landschaft,BL,968.0,34.0,,2.0,1.0,2020-07-31
CH,St. Gallen,SG,1003.0,40.0,,,,2020-07-31
CH,Basel-Stadt,BS,1054.0,52.0,,4.0,1.0,2020-07-31
CH,Fribourg,FR,1356.0,85.0,,1.0,1.0,2020-07-31
CH,Aargau,AG,1598.0,49.0,,10.0,3.0,2020-07-31
CH,Valais,VS,2109.0,139.0,,7.0,1.0,2020-07-31
CH,Berne,BE,2125.0,92.0,,10.0,2.0,2020-07-31
CH,Ticino,TI,3435.0,350.0,,2.0,1.0,2020-07-31
CH,Zürich,ZH,4514.0,139.0,,27.0,7.0,2020-07-31
CH,Geneva,GE,5969.0,284.0,,10.0,1.0,2020-07-31
CH,Vaud,VD,6029.0,303.0,,11.0,5.0,2020-07-31
CH,,,35390.0,1827.0,55021.0,114.0,34.0,2020-07-31
