country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,880.0,15.0,,0.0,,2021-03-03
CH,Uri,UR,1811.0,39.0,,2.0,,2021-03-03
CH,Obwalden,OW,1893.0,39.0,,4.0,,2021-03-03
CH,Nidwalden,NW,2006.0,19.0,,1.0,0.0,2021-03-03
CH,Glarus,GL,2213.0,69.0,,2.0,1.0,2021-03-03
CH,Schaffhausen,SH,3638.0,68.0,,7.0,0.0,2021-03-03
CH,Jura,JU,5671.0,122.0,,5.0,1.0,2021-03-03
CH,Zug,ZG,6537.0,113.0,,6.0,1.0,2021-03-03
CH,Schwyz,SZ,9606.0,214.0,,,,2021-03-03
CH,Basel-Stadt,BS,9880.0,192.0,,16.0,7.0,2021-03-03
CH,Grisons,GR,10743.0,174.0,,6.0,5.0,2021-03-03
CH,Solothurn,SO,13694.0,253.0,,13.0,8.0,2021-03-03
CH,Basel-Landschaft,BL,13856.0,208.0,,15.0,2.0,2021-03-03
CH,Neuchâtel,NE,14308.0,388.0,,49.0,5.0,2021-03-03
CH,Thurgau,TG,15190.0,421.0,,6.0,8.0,2021-03-03
CH,Lucerne,LU,21931.0,,,33.0,,2021-03-03
CH,Fribourg,FR,27438.0,465.0,,27.0,9.0,2021-03-03
CH,Ticino,TI,28139.0,957.0,,52.0,8.0,2021-03-03
CH,Valais,VS,31576.0,645.0,,26.0,8.0,2021-03-03
CH,St. Gallen,SG,34400.0,681.0,,27.0,11.0,2021-03-03
CH,Aargau,AG,37017.0,641.0,,32.0,6.0,2021-03-03
CH,Geneva,GE,44011.0,724.0,,57.0,8.0,2021-03-03
CH,Berne,BE,53173.0,1029.0,,59.0,15.0,2021-03-03
CH,Vaud,VD,68598.0,930.0,,178.0,37.0,2021-03-03
CH,Zürich,ZH,87786.0,1283.0,,113.0,24.0,2021-03-03
CH,,,548862.0,10038.0,329256.0,759.0,180.0,2021-03-03
CH,Appenzell Ausserrhoden,AR,,,,,,2021-03-03
