country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,25.0,0.0,,,,2020-04-30
CH,Schaffhausen,SH,75.0,6.0,,3.0,2.0,2020-04-30
CH,Obwalden,OW,78.0,0.0,,0.0,,2020-04-30
CH,Uri,UR,86.0,5.0,,4.0,,2020-04-30
CH,Appenzell Ausserrhoden,AR,95.0,3.0,,0.0,2.0,2020-04-30
CH,Nidwalden,NW,113.0,3.0,,1.0,0.0,2020-04-30
CH,Glarus,GL,122.0,10.0,,2.0,,2020-04-30
CH,Zug,ZG,189.0,8.0,,3.0,3.0,2020-04-30
CH,Jura,JU,192.0,0.0,,5.0,5.0,2020-04-30
CH,Schwyz,SZ,302.0,20.0,,,,2020-04-30
CH,Thurgau,TG,367.0,17.0,,3.0,7.0,2020-04-30
CH,Solothurn,SO,388.0,15.0,,12.0,,2020-04-30
CH,Lucerne,LU,684.0,18.0,,8.0,8.0,2020-04-30
CH,Neuchâtel,NE,685.0,81.0,,20.0,5.0,2020-04-30
CH,St. Gallen,SG,776.0,33.0,,15.0,2.0,2020-04-30
CH,Grisons,GR,813.0,45.0,,15.0,6.0,2020-04-30
CH,Basel-Landschaft,BL,870.0,30.0,,8.0,1.0,2020-04-30
CH,Basel-Stadt,BS,951.0,50.0,,16.0,5.0,2020-04-30
CH,Fribourg,FR,1072.0,78.0,,40.0,6.0,2020-04-30
CH,Aargau,AG,1115.0,40.0,,24.0,9.0,2020-04-30
CH,Berne,BE,1770.0,88.0,,31.0,9.0,2020-04-30
CH,Valais,VS,1860.0,125.0,,49.0,10.0,2020-04-30
CH,Ticino,TI,3210.0,321.0,,132.0,30.0,2020-04-30
CH,Zürich,ZH,3441.0,126.0,,40.0,21.0,2020-04-30
CH,Geneva,GE,4882.0,272.0,26004.0,58.0,18.0,2020-04-30
CH,Vaud,VD,5283.0,288.0,,109.0,27.0,2020-04-30
CH,,,29444.0,1682.0,26646.0,600.0,176.0,2020-04-30
