country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Nidwalden,NW,853.0,8.0,,4.0,3.0,2020-11-22
CH,Obwalden,OW,870.0,15.0,,9.0,,2020-11-22
CH,Schaffhausen,SH,1566.0,28.0,,,,2020-11-22
CH,Zug,ZG,2982.0,27.0,,18.0,5.0,2020-11-22
CH,Jura,JU,3527.0,73.0,,33.0,5.0,2020-11-22
CH,Grisons,GR,4449.0,86.0,,41.0,10.0,2020-11-22
CH,Schwyz,SZ,4614.0,91.0,,,,2020-11-22
CH,Basel-Stadt,BS,4707.0,67.0,,113.0,24.0,2020-11-22
CH,Basel-Landschaft,BL,5668.0,62.0,,75.0,7.0,2020-11-22
CH,Thurgau,TG,5884.0,88.0,,45.0,22.0,2020-11-22
CH,Neuchâtel,NE,9151.0,199.0,,128.0,17.0,2020-11-22
CH,Lucerne,LU,9270.0,79.0,,,,2020-11-22
CH,Ticino,TI,14129.0,491.0,,339.0,35.0,2020-11-22
CH,Aargau,AG,14860.0,162.0,,,,2020-11-22
CH,St. Gallen,SG,15201.0,215.0,,127.0,34.0,2020-11-22
CH,Fribourg,FR,19530.0,310.0,,133.0,23.0,2020-11-22
CH,Valais,VS,21511.0,398.0,,182.0,38.0,2020-11-22
CH,Berne,BE,25831.0,359.0,,311.0,65.0,2020-11-22
CH,Geneva,GE,33142.0,533.0,,432.0,29.0,2020-11-22
CH,Zürich,ZH,39862.0,356.0,,304.0,72.0,2020-11-22
CH,Vaud,VD,45999.0,558.0,,535.0,103.0,2020-11-22
CH,,,292288.0,4319.0,236687.0,3170.0,556.0,2020-11-22
CH,Appenzell Innerrhoden,AI,,,,,,2020-11-22
CH,Appenzell Ausserrhoden,AR,,,,,,2020-11-22
CH,Glarus,GL,,,6628.0,-3.0,3.0,2020-11-22
CH,Solothurn,SO,,,,,,2020-11-22
CH,Uri,UR,,,,,,2020-11-22
