country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,25648.0,,,,2021-10-24
BE,Wallonia,Luxembourg,35859.0,,0.0,0.0,2021-10-24
BE,Wallonia,BrabantWallon,52225.0,,0.0,0.0,2021-10-24
BE,Wallonia,Namur,67879.0,,0.0,0.0,2021-10-24
BE,Flanders,Limburg,74541.0,,0.0,0.0,2021-10-24
BE,Flanders,VlaamsBrabant,107076.0,,0.0,0.0,2021-10-24
BE,Flanders,WestVlaanderen,115426.0,,0.0,0.0,2021-10-24
BE,Flanders,OostVlaanderen,146606.0,,0.0,0.0,2021-10-24
BE,Wallonia,Liège,161089.0,,0.0,0.0,2021-10-24
BE,Flanders,Antwerpen,175206.0,,0.0,0.0,2021-10-24
BE,Wallonia,Hainaut,179442.0,,0.0,0.0,2021-10-24
BE,Brussels,Brussels,179701.0,,0.0,0.0,2021-10-24
