country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,Wallonia,Luxembourg,23.0,,5.0,1.0,2020-03-16
BE,MISSING,MISSING,69.0,,,,2020-03-16
BE,Wallonia,BrabantWallon,72.0,,8.0,2.0,2020-03-16
BE,Flanders,WestVlaanderen,191.0,,25.0,6.0,2020-03-16
BE,Flanders,OostVlaanderen,214.0,,23.0,6.0,2020-03-16
BE,Flanders,Limburg,225.0,,25.0,9.0,2020-03-16
BE,Wallonia,Liège,245.0,,24.0,2.0,2020-03-16
BE,Wallonia,Hainaut,252.0,,89.0,19.0,2020-03-16
BE,Flanders,Antwerpen,266.0,,63.0,12.0,2020-03-16
BE,Flanders,VlaamsBrabant,275.0,,23.0,7.0,2020-03-16
BE,Brussels,Brussels,278.0,,81.0,14.0,2020-03-16
BE,Wallonia,Namur,,,4.0,1.0,2020-03-16
