country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,56819.0,,,,2022-05-20
BE,Wallonia,Luxembourg,109145.0,,0.0,0.0,2022-05-20
BE,Wallonia,BrabantWallon,151780.0,,0.0,0.0,2022-05-20
BE,Wallonia,Namur,178536.0,,0.0,0.0,2022-05-20
BE,Flanders,Limburg,307317.0,,0.0,0.0,2022-05-20
BE,Wallonia,Liège,378381.0,,0.0,0.0,2022-05-20
BE,Flanders,VlaamsBrabant,400528.0,,0.0,0.0,2022-05-20
BE,Flanders,WestVlaanderen,437744.0,,0.0,0.0,2022-05-20
BE,Brussels,Brussels,451161.0,,0.0,0.0,2022-05-20
BE,Wallonia,Hainaut,458832.0,,0.0,0.0,2022-05-20
BE,Flanders,OostVlaanderen,553445.0,,0.0,0.0,2022-05-20
BE,Flanders,Antwerpen,661951.0,,0.0,0.0,2022-05-20
