country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,53376.0,,,,2022-03-21
BE,Wallonia,Luxembourg,99042.0,,29.0,3.0,2022-03-21
BE,Wallonia,BrabantWallon,139290.0,,11.0,3.0,2022-03-21
BE,Wallonia,Namur,165395.0,,62.0,11.0,2022-03-21
BE,Flanders,Limburg,274579.0,,184.0,12.0,2022-03-21
BE,Flanders,VlaamsBrabant,352064.0,,226.0,18.0,2022-03-21
BE,Wallonia,Liège,355098.0,,182.0,11.0,2022-03-21
BE,Flanders,WestVlaanderen,391848.0,,347.0,18.0,2022-03-21
BE,Brussels,Brussels,423549.0,,211.0,25.0,2022-03-21
BE,Wallonia,Hainaut,426262.0,,215.0,19.0,2022-03-21
BE,Flanders,OostVlaanderen,488343.0,,441.0,23.0,2022-03-21
BE,Flanders,Antwerpen,584814.0,,527.0,36.0,2022-03-21
