country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,MISSING,MISSING,499.0,,,,2020-04-07
BE,Wallonia,BrabantWallon,673.0,,66.0,16.0,2020-04-07
BE,Wallonia,Luxembourg,801.0,,125.0,27.0,2020-04-07
BE,Wallonia,Namur,883.0,,141.0,41.0,2020-04-07
BE,Flanders,VlaamsBrabant,2703.0,,311.0,73.0,2020-04-07
BE,Flanders,WestVlaanderen,2818.0,,673.0,132.0,2020-04-07
BE,Brussels,Brussels,2827.0,,937.0,202.0,2020-04-07
BE,Wallonia,Hainaut,2873.0,,703.0,147.0,2020-04-07
BE,Wallonia,Liège,3035.0,,612.0,153.0,2020-04-07
BE,Flanders,OostVlaanderen,3086.0,,691.0,157.0,2020-04-07
BE,Flanders,Limburg,3200.0,,491.0,98.0,2020-04-07
BE,Flanders,Antwerpen,3303.0,,960.0,230.0,2020-04-07
