"DATE","PROVINCE","REGION","NR_REPORTING","TOTAL_IN","TOTAL_IN_ICU","NEW_IN","NEW_IN_ICU","TOTAL_IN_RESP","TOTAL_IN_ECMO"
2020-03-18,"BrabantWallon","Wallonia",2,14,3,5,5,3,0
2020-03-18,"Brussels","Brussels",15,124,29,18,18,18,2
2020-03-18,"Hainaut","Wallonia",14,130,29,25,25,21,1
2020-03-18,"Limburg","Flanders",7,56,18,22,22,7,0
2020-03-18,"Liège","Wallonia",12,41,2,13,13,2,0
2020-03-18,"Luxembourg","Wallonia",3,15,2,3,3,2,0
2020-03-18,"Namur","Wallonia",6,6,1,4,4,1,0
2020-03-18,"OostVlaanderen","Flanders",14,52,12,24,24,10,0
2020-03-18,"VlaamsBrabant","Flanders",6,37,7,5,5,4,0
2020-03-18,"WestVlaanderen","Flanders",11,50,9,25,25,6,0
2020-03-19,"Antwerpen","Flanders",14,155,22,42,42,16,1
2020-03-19,"BrabantWallon","Wallonia",2,15,4,2,2,4,0
2020-03-19,"Brussels","Brussels",15,156,35,33,33,24,2
2020-03-19,"Hainaut","Wallonia",14,163,35,32,32,28,1
2020-03-19,"Limburg","Flanders",7,77,18,18,18,9,0
2020-03-19,"Liège","Wallonia",12,59,5,21,21,2,0
2020-03-19,"Luxembourg","Wallonia",3,23,6,10,10,3,0
2020-03-19,"Namur","Wallonia",6,8,2,1,1,1,0
2020-03-19,"OostVlaanderen","Flanders",14,59,16,22,22,12,0
2020-03-19,"VlaamsBrabant","Flanders",6,50,11,10,10,7,0
2020-03-19,"WestVlaanderen","Flanders",11,75,10,22,22,8,0
2020-03-20,"Antwerpen","Flanders",14,185,32,46,46,26,1
2020-03-20,"BrabantWallon","Wallonia",2,19,4,4,4,4,0
2020-03-20,"Brussels","Brussels",15,193,46,29,29,32,2
2020-03-20,"Hainaut","Wallonia",14,216,38,42,42,36,2
2020-03-20,"Limburg","Flanders",7,114,27,31,31,13,0
2020-03-20,"Liège","Wallonia",12,85,19,30,30,13,1
2020-03-20,"Luxembourg","Wallonia",3,26,7,9,9,5,1
2020-03-20,"Namur","Wallonia",6,18,1,11,11,1,0
2020-03-20,"OostVlaanderen","Flanders",14,84,20,50,50,14,0
2020-03-20,"VlaamsBrabant","Flanders",6,69,18,17,17,11,0
2020-03-20,"WestVlaanderen","Flanders",11,99,17,25,25,13,0
2020-03-21,"Antwerpen","Flanders",14,219,38,48,48,30,1
2020-03-21,"BrabantWallon","Wallonia",2,24,5,6,6,4,0
2020-03-21,"Brussels","Brussels",15,248,56,40,40,34,2
2020-03-21,"Hainaut","Wallonia",14,224,50,31,31,42,1
2020-03-21,"Limburg","Flanders",7,146,29,37,37,15,0
2020-03-21,"Liège","Wallonia",12,124,27,38,38,16,1
2020-03-21,"Luxembourg","Wallonia",3,36,9,11,11,8,0
2020-03-21,"Namur","Wallonia",6,22,4,9,9,3,1
2020-03-21,"OostVlaanderen","Flanders",14,126,29,52,52,19,0
2020-03-21,"VlaamsBrabant","Flanders",6,84,20,17,17,12,0
2020-03-21,"WestVlaanderen","Flanders",11,131,23,33,33,17,0
2020-03-22,"Antwerpen","Flanders",14,258,42,51,51,32,1
2020-03-22,"BrabantWallon","Wallonia",2,29,5,6,6,5,0
2020-03-22,"Brussels","Brussels",15,283,58,41,41,42,2
2020-03-22,"Hainaut","Wallonia",14,268,59,37,37,46,2
2020-03-22,"Limburg","Flanders",7,166,30,29,29,24,0
2020-03-22,"Liège","Wallonia",12,171,29,35,35,23,1
2020-03-22,"Luxembourg","Wallonia",3,44,11,8,8,7,0
2020-03-22,"Namur","Wallonia",6,27,7,4,4,3,2
2020-03-22,"OostVlaanderen","Flanders",14,153,37,20,20,24,0
2020-03-22,"VlaamsBrabant","Flanders",6,106,21,20,20,13,0
2020-03-22,"WestVlaanderen","Flanders",11,156,27,27,27,21,0
2020-03-23,"Antwerpen","Flanders",14,308,56,57,57,42,1
2020-03-23,"BrabantWallon","Wallonia",2,31,6,3,3,6,0
2020-03-23,"Brussels","Brussels",15,298,67,21,21,48,3
2020-03-23,"Hainaut","Wallonia",14,308,65,44,44,48,1
2020-03-23,"Limburg","Flanders",7,181,38,24,24,27,0
2020-03-23,"Liège","Wallonia",12,194,31,23,23,26,1
2020-03-23,"Luxembourg","Wallonia",3,47,18,4,4,10,0
2020-03-23,"Namur","Wallonia",6,34,7,9,9,6,0
2020-03-23,"OostVlaanderen","Flanders",14,166,41,22,22,32,0
2020-03-23,"VlaamsBrabant","Flanders",6,136,25,32,32,16,0
2020-03-23,"WestVlaanderen","Flanders",11,180,31,29,29,25,0
2020-03-24,"Antwerpen","Flanders",14,382,71,92,92,54,1
2020-03-24,"BrabantWallon","Wallonia",2,37,9,8,8,9,0
2020-03-24,"Brussels","Brussels",15,349,82,52,52,54,4
2020-03-24,"Hainaut","Wallonia",14,336,77,38,38,58,1
2020-03-24,"Limburg","Flanders",7,235,44,61,61,32,0
2020-03-24,"Liège","Wallonia",12,196,38,28,28,27,1
2020-03-24,"Luxembourg","Wallonia",3,52,18,8,8,10,0
2020-03-24,"Namur","Wallonia",6,42,10,11,11,8,0
2020-03-24,"OostVlaanderen","Flanders",14,206,62,51,51,35,1
2020-03-24,"VlaamsBrabant","Flanders",6,148,37,23,23,19,0
2020-03-24,"WestVlaanderen","Flanders",11,221,39,48,48,27,0
2020-03-25,"Antwerpen","Flanders",14,495,98,107,107,72,1
2020-03-25,"BrabantWallon","Wallonia",2,40,10,9,9,10,0
2020-03-25,"Brussels","Brussels",15,415,98,69,69,67,4
2020-03-25,"Hainaut","Wallonia",14,377,83,46,46,62,2
2020-03-25,"Limburg","Flanders",7,290,59,64,64,45,0
2020-03-25,"Liège","Wallonia",12,252,58,53,53,40,1
2020-03-25,"Luxembourg","Wallonia",3,63,20,10,10,11,0
2020-03-25,"Namur","Wallonia",6,56,13,18,18,10,0
2020-03-25,"OostVlaanderen","Flanders",14,263,76,53,53,47,1
2020-03-25,"VlaamsBrabant","Flanders",6,172,42,31,31,23,1
2020-03-25,"WestVlaanderen","Flanders",11,298,55,83,83,35,0
2020-03-26,"Antwerpen","Flanders",14,556,105,78,78,84,1
2020-03-26,"BrabantWallon","Wallonia",2,41,14,7,7,12,0
2020-03-26,"Brussels","Brussels",15,482,114,76,76,83,3
2020-03-26,"Hainaut","Wallonia",14,416,95,50,50,69,2
2020-03-26,"Limburg","Flanders",7,323,71,54,54,54,0
2020-03-26,"Liège","Wallonia",12,286,68,60,60,50,2
2020-03-26,"Luxembourg","Wallonia",3,72,20,17,17,11,0
2020-03-26,"Namur","Wallonia",6,70,18,13,13,12,1
2020-03-26,"OostVlaanderen","Flanders",14,326,85,43,43,56,1
2020-03-26,"VlaamsBrabant","Flanders",6,187,43,38,38,30,1
2020-03-26,"WestVlaanderen","Flanders",11,352,66,58,58,42,0
2020-03-27,"Antwerpen","Flanders",14,627,122,88,88,100,2
2020-03-27,"BrabantWallon","Wallonia",2,56,14,12,12,13,0
2020-03-27,"Brussels","Brussels",15,580,118,93,93,92,4
2020-03-27,"Hainaut","Wallonia",14,457,102,55,55,74,2
2020-03-27,"Limburg","Flanders",7,396,78,91,91,55,0
2020-03-27,"Liège","Wallonia",12,347,88,75,75,68,2
2020-03-27,"Luxembourg","Wallonia",3,84,18,16,16,11,0
2020-03-27,"Namur","Wallonia",6,79,22,11,11,20,2
2020-03-27,"OostVlaanderen","Flanders",14,393,99,53,53,64,2
2020-03-27,"VlaamsBrabant","Flanders",6,217,51,23,23,36,2
2020-03-27,"WestVlaanderen","Flanders",11,413,77,70,70,46,0
2020-03-28,"Antwerpen","Flanders",14,725,140,131,131,109,1
2020-03-28,"BrabantWallon","Wallonia",2,56,13,8,8,11,0
2020-03-28,"Brussels","Brussels",15,629,136,90,90,108,5
2020-03-28,"Hainaut","Wallonia",14,548,115,84,84,99,4
2020-03-28,"Limburg","Flanders",7,418,89,48,48,58,0
2020-03-28,"Liège","Wallonia",12,375,95,52,52,75,3
2020-03-28,"Luxembourg","Wallonia",3,90,17,15,15,13,0
2020-03-28,"Namur","Wallonia",6,85,20,16,16,19,2
2020-03-28,"OostVlaanderen","Flanders",14,456,103,77,77,70,2
2020-03-28,"VlaamsBrabant","Flanders",6,247,50,47,47,41,3
2020-03-28,"WestVlaanderen","Flanders",11,459,89,74,74,53,0
2020-03-29,"Antwerpen","Flanders",14,770,151,64,64,125,1
2020-03-29,"BrabantWallon","Wallonia",2,60,15,7,7,12,0
2020-03-29,"Brussels","Brussels",15,712,150,98,98,121,5
2020-03-29,"Hainaut","Wallonia",14,610,126,69,69,103,5
2020-03-29,"Limburg","Flanders",7,457,101,62,62,68,0
2020-03-29,"Liège","Wallonia",12,425,102,50,50,87,2
2020-03-29,"Luxembourg","Wallonia",3,101,17,11,11,14,0
2020-03-29,"Namur","Wallonia",6,102,26,22,22,23,2
2020-03-29,"OostVlaanderen","Flanders",14,514,113,72,72,78,1
2020-03-29,"VlaamsBrabant","Flanders",6,269,66,29,29,42,3
2020-03-29,"WestVlaanderen","Flanders",11,516,94,61,61,53,0
2020-03-30,"Antwerpen","Flanders",14,818,162,85,85,128,1
2020-03-30,"BrabantWallon","Wallonia",2,69,18,9,9,15,0
2020-03-30,"Brussels","Brussels",15,790,164,53,53,132,6
2020-03-30,"Hainaut","Wallonia",14,646,131,54,54,112,4
2020-03-30,"Limburg","Flanders",7,481,110,41,41,79,0
2020-03-30,"Liège","Wallonia",12,476,114,66,66,97,2
2020-03-30,"Luxembourg","Wallonia",3,107,18,12,12,14,0
2020-03-30,"Namur","Wallonia",6,112,30,13,13,25,2
2020-03-30,"OostVlaanderen","Flanders",14,570,121,78,78,80,1
2020-03-30,"VlaamsBrabant","Flanders",6,290,62,26,26,46,4
2020-03-30,"WestVlaanderen","Flanders",11,538,91,49,49,58,0
2020-03-31,"Antwerpen","Flanders",14,816,179,85,85,146,1
2020-03-31,"BrabantWallon","Wallonia",2,64,18,6,6,17,0
2020-03-31,"Brussels","Brussels",15,817,176,101,101,139,7
2020-03-31,"Hainaut","Wallonia",14,637,132,54,54,114,5
2020-03-31,"Limburg","Flanders",7,512,112,87,87,72,0
2020-03-31,"Liège","Wallonia",12,500,119,58,58,103,3
2020-03-31,"Luxembourg","Wallonia",3,103,20,6,6,15,0
2020-03-31,"Namur","Wallonia",6,118,33,16,16,29,3
2020-03-31,"OostVlaanderen","Flanders",14,591,130,67,67,87,1
2020-03-31,"VlaamsBrabant","Flanders",6,289,66,22,22,49,4
2020-03-31,"WestVlaanderen","Flanders",11,541,103,48,48,63,0
2020-04-01,"Antwerpen","Flanders",14,862,202,111,111,168,1
2020-04-01,"BrabantWallon","Wallonia",2,61,17,5,5,15,0
2020-04-01,"Brussels","Brussels",15,842,183,85,85,144,10
2020-04-01,"Hainaut","Wallonia",14,677,139,70,70,123,6
2020-04-01,"Limburg","Flanders",7,503,109,46,46,82,0
2020-04-01,"Liège","Wallonia",12,523,130,73,73,116,4
2020-04-01,"Luxembourg","Wallonia",3,111,22,19,19,18,0
2020-04-01,"Namur","Wallonia",6,130,34,20,20,30,3
2020-04-01,"OostVlaanderen","Flanders",14,614,132,67,67,88,1
2020-04-01,"VlaamsBrabant","Flanders",6,330,72,42,42,56,4
2020-04-01,"WestVlaanderen","Flanders",11,566,104,61,61,66,0
2020-04-02,"Antwerpen","Flanders",14,875,211,89,89,166,1
2020-04-02,"BrabantWallon","Wallonia",2,65,19,7,7,16,0
2020-04-02,"Brussels","Brussels",15,917,196,107,107,158,7
2020-04-02,"Hainaut","Wallonia",14,678,150,47,47,125,7
2020-04-02,"Limburg","Flanders",7,500,105,54,54,78,0
2020-04-02,"Liège","Wallonia",12,570,135,88,88,120,3
2020-04-02,"Luxembourg","Wallonia",3,116,22,14,14,15,0
2020-04-02,"Namur","Wallonia",6,140,37,19,19,20,2
2020-04-02,"OostVlaanderen","Flanders",14,616,142,56,56,96,3
2020-04-02,"VlaamsBrabant","Flanders",6,343,79,31,31,55,5
2020-04-02,"WestVlaanderen","Flanders",11,578,109,60,60,67,0
2020-04-03,"Antwerpen","Flanders",14,901,225,75,75,180,1
2020-04-03,"BrabantWallon","Wallonia",2,64,17,6,6,15,0
2020-04-03,"Brussels","Brussels",15,914,196,62,62,164,11
2020-04-03,"Hainaut","Wallonia",14,704,155,46,46,128,7
2020-04-03,"Limburg","Flanders",7,516,105,67,67,73,0
2020-04-03,"Liège","Wallonia",12,573,145,37,37,129,2
2020-04-03,"Luxembourg","Wallonia",3,121,25,15,15,20,0
2020-04-03,"Namur","Wallonia",6,144,39,8,8,31,2
2020-04-03,"OostVlaanderen","Flanders",14,642,150,52,52,111,3
2020-04-03,"VlaamsBrabant","Flanders",6,344,84,26,26,59,5
2020-04-03,"WestVlaanderen","Flanders",11,639,115,108,108,80,0
2020-04-04,"Antwerpen","Flanders",14,916,230,71,71,191,2
2020-04-04,"BrabantWallon","Wallonia",2,57,17,7,7,15,0
2020-04-04,"Brussels","Brussels",15,888,197,75,75,164,12
2020-04-04,"Hainaut","Wallonia",14,706,154,58,58,125,7
2020-04-04,"Limburg","Flanders",7,506,109,43,43,71,0
2020-04-04,"Liège","Wallonia",12,585,147,63,63,135,3
2020-04-04,"Luxembourg","Wallonia",3,113,25,11,11,20,0
2020-04-04,"Namur","Wallonia",6,144,39,12,12,33,0
2020-04-04,"OostVlaanderen","Flanders",14,644,153,73,73,115,2
2020-04-04,"VlaamsBrabant","Flanders",6,307,69,23,23,56,5
2020-04-04,"WestVlaanderen","Flanders",11,665,121,66,66,77,0
2020-04-05,"Antwerpen","Flanders",14,939,222,61,61,185,2
2020-04-05,"BrabantWallon","Wallonia",2,63,19,6,6,17,0
2020-04-05,"Brussels","Brussels",15,899,203,66,66,164,14
2020-04-05,"Hainaut","Wallonia",14,728,149,41,41,123,9
2020-04-05,"Limburg","Flanders",7,485,103,34,34,70,0
2020-04-05,"Liège","Wallonia",12,603,152,32,32,144,2
2020-04-05,"Luxembourg","Wallonia",3,119,28,3,3,24,0
2020-04-05,"Namur","Wallonia",6,151,41,14,14,34,2
2020-04-05,"OostVlaanderen","Flanders",14,659,151,41,41,117,2
2020-04-05,"VlaamsBrabant","Flanders",6,313,71,26,26,52,5
2020-04-05,"WestVlaanderen","Flanders",11,661,128,36,36,83,1
2020-04-06,"Antwerpen","Flanders",14,965,223,56,56,188,2
2020-04-06,"BrabantWallon","Wallonia",2,66,19,4,4,14,0
2020-04-06,"Brussels","Brussels",15,921,203,47,47,165,15
2020-04-06,"Hainaut","Wallonia",14,726,145,32,32,121,8
2020-04-06,"Limburg","Flanders",7,502,97,32,32,64,0
2020-04-06,"Liège","Wallonia",12,619,151,36,36,143,3
2020-04-06,"Luxembourg","Wallonia",3,125,28,11,11,21,0
2020-04-06,"Namur","Wallonia",6,148,41,6,6,32,2
2020-04-06,"OostVlaanderen","Flanders",14,691,154,50,50,116,2
2020-04-06,"VlaamsBrabant","Flanders",6,320,72,17,17,58,5
2020-04-06,"WestVlaanderen","Flanders",11,676,127,33,33,77,1
2020-04-07,"Antwerpen","Flanders",14,960,230,74,74,183,2
2020-04-07,"BrabantWallon","Wallonia",2,66,16,5,5,13,0
2020-04-07,"Brussels","Brussels",15,937,202,79,79,172,18
2020-04-07,"Hainaut","Wallonia",14,703,147,45,45,120,9
2020-04-07,"Limburg","Flanders",7,491,98,45,45,71,3
2020-04-07,"Liège","Wallonia",12,612,153,45,45,142,3
2020-04-07,"Luxembourg","Wallonia",3,125,27,12,12,19,0
2020-04-07,"Namur","Wallonia",6,141,41,15,15,34,2
2020-04-07,"OostVlaanderen","Flanders",14,691,157,61,61,122,2
2020-04-07,"VlaamsBrabant","Flanders",6,311,73,31,31,56,5
2020-04-07,"WestVlaanderen","Flanders",11,673,132,63,63,76,1
2020-04-08,"Antwerpen","Flanders",14,940,229,57,57,181,2
2020-04-08,"BrabantWallon","Wallonia",2,67,15,9,9,11,0
2020-04-08,"Brussels","Brussels",15,915,194,68,68,162,18
2020-04-08,"Hainaut","Wallonia",14,682,150,52,52,125,9
2020-04-08,"Limburg","Flanders",7,480,96,59,59,71,3
2020-04-08,"Liège","Wallonia",12,622,161,53,53,144,2
2020-04-08,"Luxembourg","Wallonia",3,116,27,12,12,17,0
2020-04-08,"Namur","Wallonia",6,173,48,39,39,35,3
2020-04-08,"OostVlaanderen","Flanders",14,670,161,48,48,116,2
2020-04-08,"VlaamsBrabant","Flanders",6,303,74,22,22,57,6
2020-04-08,"WestVlaanderen","Flanders",11,652,131,45,45,76,1
2020-04-09,"Antwerpen","Flanders",14,917,219,65,65,184,2
2020-04-09,"BrabantWallon","Wallonia",2,69,13,9,9,11,0
2020-04-09,"Brussels","Brussels",15,911,199,80,80,157,17
2020-04-09,"Hainaut","Wallonia",14,712,154,67,67,125,9
2020-04-09,"Limburg","Flanders",7,475,93,42,42,74,3
2020-04-09,"Liège","Wallonia",12,639,161,49,49,148,2
2020-04-09,"Luxembourg","Wallonia",3,111,27,13,13,19,0
2020-04-09,"Namur","Wallonia",6,182,50,26,26,35,3
2020-04-09,"OostVlaanderen","Flanders",14,677,163,49,49,116,2
2020-04-09,"VlaamsBrabant","Flanders",6,303,78,22,22,53,6
2020-04-09,"WestVlaanderen","Flanders",11,644,122,45,45,72,0
2020-04-10,"Antwerpen","Flanders",14,907,216,54,54,181,3
2020-04-10,"BrabantWallon","Wallonia",2,68,15,5,5,10,0
2020-04-10,"Brussels","Brussels",15,902,197,59,59,158,18
2020-04-10,"Hainaut","Wallonia",14,741,146,57,57,119,11
2020-04-10,"Limburg","Flanders",7,481,101,45,45,72,3
2020-04-10,"Liège","Wallonia",12,629,156,46,46,141,2
2020-04-10,"Luxembourg","Wallonia",3,118,24,9,9,19,0
2020-04-10,"Namur","Wallonia",6,187,51,17,17,32,4
2020-04-10,"OostVlaanderen","Flanders",14,691,167,61,61,127,2
2020-04-10,"VlaamsBrabant","Flanders",6,298,73,29,29,51,5
2020-04-10,"WestVlaanderen","Flanders",11,641,116,49,49,71,0
2020-04-11,"Antwerpen","Flanders",14,895,208,59,59,164,4
2020-04-11,"BrabantWallon","Wallonia",2,67,15,5,5,11,0
2020-04-11,"Brussels","Brussels",15,899,198,43,43,157,17
2020-04-11,"Hainaut","Wallonia",14,764,145,64,64,116,11
2020-04-11,"Limburg","Flanders",7,450,94,47,47,74,2
2020-04-11,"Liège","Wallonia",12,593,155,39,39,139,2
2020-04-11,"Luxembourg","Wallonia",3,112,21,8,8,18,1
2020-04-11,"Namur","Wallonia",6,188,50,15,15,35,4
2020-04-11,"OostVlaanderen","Flanders",14,652,172,53,53,120,3
2020-04-11,"VlaamsBrabant","Flanders",6,285,74,17,17,49,4
2020-04-11,"WestVlaanderen","Flanders",11,633,119,42,42,69,0
2020-04-12,"Antwerpen","Flanders",14,877,212,41,41,170,4
2020-04-12,"BrabantWallon","Wallonia",2,71,15,8,8,11,0
2020-04-12,"Brussels","Brussels",15,920,198,49,49,155,17
2020-04-12,"Hainaut","Wallonia",14,748,140,40,40,110,10
2020-04-12,"Limburg","Flanders",7,451,96,24,24,71,2
2020-04-12,"Liège","Wallonia",12,587,155,18,18,141,2
2020-04-12,"Luxembourg","Wallonia",3,107,20,3,3,17,1
2020-04-12,"Namur","Wallonia",6,184,50,8,8,34,4
2020-04-12,"OostVlaanderen","Flanders",14,673,179,26,26,124,3
2020-04-12,"VlaamsBrabant","Flanders",6,293,75,20,20,49,4
2020-04-12,"WestVlaanderen","Flanders",11,631,113,40,40,73,0
2020-04-13,"Antwerpen","Flanders",14,856,212,35,35,165,4
2020-04-13,"BrabantWallon","Wallonia",2,70,15,2,2,11,0
2020-04-13,"Brussels","Brussels",15,908,189,37,37,138,15
2020-04-13,"Hainaut","Wallonia",14,758,137,25,25,108,9
2020-04-13,"Limburg","Flanders",7,450,95,23,23,71,2
2020-04-13,"Liège","Wallonia",12,582,153,20,20,129,2
2020-04-13,"Luxembourg","Wallonia",3,109,20,6,6,17,1
2020-04-13,"Namur","Wallonia",6,190,48,10,10,35,4
2020-04-13,"OostVlaanderen","Flanders",14,680,164,31,31,119,4
2020-04-13,"VlaamsBrabant","Flanders",6,295,70,14,14,48,4
2020-04-13,"WestVlaanderen","Flanders",11,656,123,41,41,74,0
2020-04-14,"Antwerpen","Flanders",14,843,207,44,44,168,4
2020-04-14,"BrabantWallon","Wallonia",2,70,14,2,2,11,0
2020-04-14,"Brussels","Brussels",15,897,187,31,31,143,16
2020-04-14,"Hainaut","Wallonia",14,763,134,34,34,101,8
2020-04-14,"Limburg","Flanders",7,463,98,30,30,71,2
2020-04-14,"Liège","Wallonia",12,575,150,8,8,123,2
2020-04-14,"Luxembourg","Wallonia",3,112,22,10,10,18,1
2020-04-14,"Namur","Wallonia",6,191,48,9,9,32,4
2020-04-14,"OostVlaanderen","Flanders",14,666,152,39,39,109,4
2020-04-14,"VlaamsBrabant","Flanders",6,298,69,11,11,43,4
2020-04-14,"WestVlaanderen","Flanders",11,654,123,35,35,70,0
2020-04-15,"Antwerpen","Flanders",14,803,205,40,40,167,4
2020-04-15,"BrabantWallon","Wallonia",2,67,12,2,2,10,0
2020-04-15,"Brussels","Brussels",15,857,174,45,45,139,14
2020-04-15,"Hainaut","Wallonia",14,730,137,29,29,104,8
2020-04-15,"Limburg","Flanders",7,439,93,32,32,69,2
2020-04-15,"Liège","Wallonia",12,552,147,31,31,117,2
2020-04-15,"Luxembourg","Wallonia",3,101,21,7,7,18,1
