country,cases,deaths,datetime
LI,83,1,2020-05-19T00:00:00
MT,558,6,2020-05-19T00:00:00
CY,917,17,2020-05-19T00:00:00
LV,1009,19,2020-05-19T00:00:00
SI,1466,104,2020-05-19T00:00:00
SK,1495,28,2020-05-19T00:00:00
LT,1547,59,2020-05-19T00:00:00
EE,1784,64,2020-05-19T00:00:00
IS,1802,10,2020-05-19T00:00:00
HR,2228,95,2020-05-19T00:00:00
BG,2259,112,2020-05-19T00:00:00
GR,2836,165,2020-05-19T00:00:00
HU,3556,467,2020-05-19T00:00:00
LU,3947,107,2020-05-19T00:00:00
FI,6380,300,2020-05-19T00:00:00
NO,8249,233,2020-05-19T00:00:00
CZ,8586,297,2020-05-19T00:00:00
DK,10968,548,2020-05-19T00:00:00
AT,16179,629,2020-05-19T00:00:00
RO,17036,1107,2020-05-19T00:00:00
PL,18885,936,2020-05-19T00:00:00
IE,24200,1547,2020-05-19T00:00:00
PT,29209,1231,2020-05-19T00:00:00
SE,30377,3698,2020-05-19T00:00:00
NL,44141,5694,2020-05-19T00:00:00
BE,55559,9080,2020-05-19T00:00:00
FR,142903,28239,2020-05-19T00:00:00
DE,175210,8007,2020-05-19T00:00:00
IT,225886,32007,2020-05-19T00:00:00
ES,231606,27709,2020-05-19T00:00:00
GB,246406,34796,2020-05-19T00:00:00
Total,1317267,157312,2020-05-19T00:00:00
