country,cases,hospitalized,intensive_care,datetime
Scotland,,,,2020-04-26T00:00:00
Scotland,1231,241,16,2020-04-26T00:00:00
Scotland,1251,91,,2020-04-26T00:00:00
Scotland,1785,301,24,2020-04-26T00:00:00
Scotland,225,50,,2020-04-26T00:00:00
Scotland,240,22,,2020-04-26T00:00:00
Scotland,2479,557,49,2020-04-26T00:00:00
Scotland,259,49,,2020-04-26T00:00:00
Scotland,54,,,2020-04-26T00:00:00
Scotland,6,,,2020-04-26T00:00:00
Scotland,662,84,5,2020-04-26T00:00:00
Scotland,672,153,6,2020-04-26T00:00:00
Scotland,7,,,2020-04-26T00:00:00
Scotland,705,91,8,2020-04-26T00:00:00
Scotland,748,88,9,2020-04-26T00:00:00
