country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Greater Glasgow and Clyde,1486,583,74,2020-04-13T00:00:00
Scotland,Highland,163,62,6,2020-04-13T00:00:00
Scotland,Dumfries and Galloway,192,51,8,2020-04-13T00:00:00
Scotland,Borders,204,54,8,2020-04-13T00:00:00
Scotland,Grampian,313,89,12,2020-04-13T00:00:00
Scotland,Forth Valley,352,92,7,2020-04-13T00:00:00
Scotland,Fife,383,121,6,2020-04-13T00:00:00
Scotland,Ayrshire and Arran,390**,102,14,2020-04-13T00:00:00
Scotland,Shetland,45,,,2020-04-13T00:00:00
Scotland,Orkney,5,,,2020-04-13T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-13T00:00:00
Scotland,Lanarkshire,784,263,30,2020-04-13T00:00:00
Scotland,Tayside,812**,115,8,2020-04-13T00:00:00
Scotland,Lothian,932,258,36,2020-04-13T00:00:00
Scotland,Golden Jubilee National Hospital,,5,,2020-04-13T00:00:00
