country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Orkney,,,,2020-04-08T00:00:00
Scotland,Eileanan Siar (Western Isles),,,,2020-04-08T00:00:00
Scotland,Greater Glasgow and Clyde,1166,555,62,2020-04-08T00:00:00
Scotland,Highland,122,61,6,2020-04-08T00:00:00
Scotland,Dumfries and Galloway,155,44,6,2020-04-08T00:00:00
Scotland,Borders,160,56,9,2020-04-08T00:00:00
Scotland,Grampian,223,62,11,2020-04-08T00:00:00
Scotland,Fife,255,127,13,2020-04-08T00:00:00
Scotland,Forth Valley,259,107,9,2020-04-08T00:00:00
Scotland,Ayrshire and Arran,312,91,16,2020-04-08T00:00:00
Scotland,Shetland,43,,,2020-04-08T00:00:00
Scotland,Lanarkshire,575,249,28,2020-04-08T00:00:00
Scotland,Tayside,586,134,7,2020-04-08T00:00:00
Scotland,Lothian,700,275,41,2020-04-08T00:00:00
