country,nuts_3,cases,hospitalized,intensive_care,datetime
Scotland,Lanarkshire,1155,237,19,2020-04-23T00:00:00
Scotland,Tayside,1159,97,6,2020-04-23T00:00:00
Scotland,Lothian,1604,277,27,2020-04-23T00:00:00
Scotland,Highland,214,56,,2020-04-23T00:00:00
Scotland,Greater Glasgow and Clyde,2250,564,49,2020-04-23T00:00:00
Scotland,Dumfries and Galloway,235,36,,2020-04-23T00:00:00
Scotland,Borders,248,40,,2020-04-23T00:00:00
Scotland,Shetland,54,,,2020-04-23T00:00:00
Scotland,Orkney,6,,,2020-04-23T00:00:00
Scotland,Eileanan Siar (Western Isles),6,,,2020-04-23T00:00:00
Scotland,Grampian,602,102,12,2020-04-23T00:00:00
Scotland,Forth Valley,604,85,5,2020-04-23T00:00:00
Scotland,Fife,619,141,6,2020-04-23T00:00:00
Scotland,Ayrshire and Arran,653,104,10,2020-04-23T00:00:00
Scotland,Golden Jubilee National Hospital,,8,,2020-04-23T00:00:00
